common_name,country,year,total_observations
"Whitetip Reef Shark",Indonesia,2015,12
"Blacktip Reef Shark",Indonesia,2015,11
Sharksucker,Indonesia,2015,8
"Spinner Dolphin",Indonesia,2015,5
"Indonesian Speckled Carpetshark",Indonesia,2015,3
"Bottlenose Dolphin",Indonesia,2015,3
"Pantropical Spotted Dolphin",Indonesia,2015,3
"Indo-Pacific Humpback Dolphin",Indonesia,2015,2
"Brown-Banded Bamboo Shark",Indonesia,2015,2
"Grey Reef Shark",Indonesia,2015,2
"Whale Shark",Indonesia,2015,2
"False Killer Whale",Indonesia,2015,2
"Nurse Shark",Indonesia,2015,1
"Sharks And Ray",Indonesia,2015,1
"Zebra Shark",Indonesia,2015,1
"Typical Requiem Shark",Indonesia,2015,1
"Shark Catfish",Indonesia,2015,1
"Henry'S Epaulette Shark",Indonesia,2015,1
"Grey Bamboo Shark",Indonesia,2015,1
"Snaggletooth Shark",Indonesia,2015,1
"Irrawaddy Dolphin",Indonesia,2015,1
"Indo-Pacific Bottlenose Dolphin",Indonesia,2015,1
"Coral Catshark",Indonesia,2015,1
"Melon-Headed Whale",Indonesia,2015,1
"Blacktip Reef Shark",Indonesia,2016,15
"Whitetip Reef Shark",Indonesia,2016,14
Sharksucker,Indonesia,2016,11
"Whale Shark",Indonesia,2016,8
"Spinner Dolphin",Indonesia,2016,5
"Brown-Banded Bamboo Shark",Indonesia,2016,5
"Indonesian Speckled Carpetshark",Indonesia,2016,4
"Sharpnose Shark",Indonesia,2016,4
"Shark Catfish",Indonesia,2016,2
"Grey Reef Shark",Indonesia,2016,2
"Blue Whale",Indonesia,2016,2
"Epaulette Shark",Indonesia,2016,2
"Silvertip Shark",Indonesia,2016,1
"Typical Requiem Shark",Indonesia,2016,1
"Leopard Shark",Indonesia,2016,1
"Apollo Shark",Indonesia,2016,1
"Pantropical Spotted Dolphin",Indonesia,2016,1
"Short-Finned Pilot Whale",Indonesia,2016,1
"Common Bottlenose Dolphin",Indonesia,2016,1
"Melon-Headed Whale",Indonesia,2016,1
"Bottlenose Dolphin",Indonesia,2016,1
"Irrawaddy Dolphin",Indonesia,2016,1
"Rough-Toothed Dolphin",Indonesia,2016,1
"Pygmy Blue Whale",Indonesia,2016,1
"Indo-Pacific Bottlenose Dolphin",Indonesia,2016,1
"Sperm Whale",Indonesia,2016,1
"Nurse Shark",Indonesia,2016,1
"Spot-Tail Shark",Indonesia,2016,1
"Requiem Shark",Indonesia,2016,1
"Sand Tiger Shark",Indonesia,2016,1
