country,month,total_observations
indonesia,1,13592
indonesia,2,11538
indonesia,3,13142
indonesia,4,14843
indonesia,5,12317
indonesia,6,8860
indonesia,7,10329
indonesia,8,12827
indonesia,9,17598
indonesia,10,16740
indonesia,11,16076
indonesia,12,15613
philippines,1,3921
philippines,2,2322
philippines,3,5557
philippines,4,6109
philippines,5,6427
philippines,6,4317
philippines,7,2504
philippines,8,2466
philippines,9,1754
philippines,10,2013
philippines,11,3661
philippines,12,4088
thailand,1,4568
thailand,2,4750
thailand,3,5900
thailand,4,4952
thailand,5,2517
thailand,6,1667
thailand,7,3731
thailand,8,1940
thailand,9,2054
thailand,10,2726
thailand,11,3135
thailand,12,4308
