common_name,country,total_observations
Aba,Indonesia,3
Aba,Thailand,1
Abantennarius,Thailand,2
Abantennarius,Philippines,2
Abantennarius,Indonesia,1
"Abe'S Angelfish",Indonesia,1
"Abe'S Flyingfish",Philippines,6
"Abe'S Flyingfish",Thailand,1
"Abe'S Flyingfish",Indonesia,1
Ablabys,Indonesia,34
Ablabys,Philippines,18
Acanthochromis,Indonesia,2
Acanthochromis,Philippines,1
Acanthocybium,Indonesia,1
Acanthopagrus,Thailand,2
"Acanthopsoides Molobrion",Indonesia,2
"Acanthopsoides Molobrion",Thailand,1
Acanthurus,Indonesia,122
Acanthurus,Thailand,31
Acanthurus,Philippines,15
Acantopsis,Indonesia,2
Acantopsis,Thailand,2
"Acantopsis Dinema",Thailand,1
"Acantopsis Rungthipae",Thailand,1
"Acehnese Mahseer",Indonesia,27
"Acehnese Mahseer",Thailand,5
Acentrogobius,Indonesia,20
"Acentrogobius Madraspatensis",Indonesia,1
"Acentrogobius Multifasciatus",Indonesia,1
Acentronura,Philippines,21
Acentronura,Indonesia,18
"Acentronura Gracilissima",Philippines,1
"Achara Catfish",Philippines,1
"Achara Catfish",Indonesia,1
"Achilles Tang",Indonesia,1
"Achiroides Leucorhynchos",Indonesia,1
"Achiroides Melanorhynchus",Indonesia,1
Acreichthys,Philippines,10
Acreichthys,Indonesia,5
Acrochordonichthys,Indonesia,1
Acrossocheilus,Indonesia,2
Acrossocheilus,Thailand,1
"Acrossocheilus Longipinnis",Indonesia,1
"Acrossocheilus Parallens",Indonesia,1
"Adelotremus Deloachi",Indonesia,1
"Adolfo'S Cory",Thailand,1
"Adolfo'S Cory",Indonesia,1
Aeoliscus,Indonesia,18
Aeoliscus,Philippines,7
Aeoliscus,Thailand,2
"African Arowana",Indonesia,2
"African Butterfly Cichlid",Indonesia,1
"African Cichlid",Indonesia,63
"African Cichlid",Thailand,17
"African Cichlid",Philippines,5
"African Cori",Indonesia,6
"African Lionfish",Indonesia,2
"African Lionfish",Thailand,2
"African Moony",Indonesia,5
"African Moony",Thailand,1
"African Pike Characin",Indonesia,2
"African Pompano",Indonesia,12
"African Pompano",Thailand,8
"African Pompano",Philippines,4
"African Redeye Tetra",Indonesia,1
"African Rivuline",Thailand,1
"African Sailfin Flyingfish",Indonesia,1
"African Scat",Indonesia,2
"African Sicklefish",Indonesia,1
"African Sicklefish",Philippines,1
"African Tigerfish",Indonesia,4
"African Tilapia",Indonesia,9
"African Tilapia",Thailand,1
"Agassiz'S Dwarf Cichlid",Indonesia,2
"Ageneiosus Magoi",Indonesia,1
Ailia,Indonesia,1
"Airbreathing Catfish",Thailand,3
"Akaads' Scad",Thailand,1
"Akar Betta",Indonesia,4
"Akysis Prashadi",Indonesia,1
"Akysis Recavus",Thailand,3
Albacore,Thailand,1
Albula,Indonesia,2
"Albulichthys Albuloides",Indonesia,1
"Aldabra Gregory",Thailand,1
Alectis,Indonesia,1
"Alelia'S Damselfish",Philippines,3
Alepes,Thailand,3
Alepes,Indonesia,1
"Alexander'S Damsel",Philippines,30
"Alexander'S Damsel",Indonesia,26
"Alexander'S Damsel",Thailand,23
"Alfred'S Licorice Gourami",Indonesia,4
