country,year,total_observations
indonesia,2015,4443
indonesia,2016,6148
indonesia,2017,6709
indonesia,2018,8602
indonesia,2019,14928
indonesia,2020,5633
indonesia,2021,4098
indonesia,2022,15051
indonesia,2023,36434
indonesia,2024,45573
indonesia,2025,15856
philippines,2015,1172
philippines,2016,1732
philippines,2017,2853
philippines,2018,3516
philippines,2019,4022
philippines,2020,596
philippines,2021,447
philippines,2022,4068
philippines,2023,9135
philippines,2024,11431
philippines,2025,6167
thailand,2015,592
thailand,2016,721
thailand,2017,1092
thailand,2018,1362
thailand,2019,1201
thailand,2020,2329
thailand,2021,2886
thailand,2022,4961
thailand,2023,10353
thailand,2024,10333
thailand,2025,6418
