common_name,country
"Japanese Seahorse",thailand
"Lubbock'S Blenny",thailand
"Green-Snout Parrotfish",thailand
"Purplespotted Bigeye",thailand
"Blue Danio",thailand
"Schistura Kohchangensis",thailand
"Small-Scaled Pacu",thailand
"Giant Barb",thailand
Wallago,thailand
"Schistura Crocotula",thailand
"Spotted Hampala Barb",thailand
"Manyspot Blenny",thailand
"Ticto Barb",thailand
"Garra Fluviatilis",thailand
"Eclipse Parrotfish",thailand
Schistura,thailand
"Blue-Tail Mullet",thailand
"Parasikukia Maculata",thailand
"Ragged Flounder",thailand
"Boeseman Croaker",thailand
"Andaman Grunt",thailand
"Cochin Puffer",thailand
"Pearse'S Mudskipper",thailand
"Four-Eyed Butterflyfish",thailand
Monacanthus,thailand
"Largespot Sweetlip",thailand
"Elongate Bullseye",thailand
"Horse-Eye Jack",thailand
Permit,thailand
Peristedion,thailand
Sturgeon,thailand
"Siberian Sturgeon",thailand
"Schistura Robertsi",thailand
Catlocarpio,thailand
Albacore,thailand
"Mystic Mystu",thailand
"Golden-Banded Goby",thailand
"Bumblebee Catfish",thailand
"Caroun Croaker",thailand
"Mud Carp",thailand
"Kabinburi Betta",thailand
"Ukkrit'S Pygmygoby",thailand
"Helcogramma Rosea",thailand
"Bugeye Dottyback",thailand
"Redmasked Clingfish",thailand
"Medusa Blenny",thailand
"Joan'S Fairy-Wrasse",thailand
"Trimma Fucatum",thailand
"Indian Doublestriped Clingfish",thailand
"Spottedback Coralblenny",thailand
"Thai Damsel",thailand
"Bluespotted Damselfish",thailand
"Andaman Hind",thailand
"Hypsibarbus Vernayi",thailand
"Short-Snouted Seahorse",thailand
"Wels Catfish",thailand
"Siamese Bat Catfish",thailand
Rhabdoblennius,thailand
"Lavender Snapper",thailand
"Greenhead Parrotfish",thailand
"Glyptothorax Coracinus",thailand
"Thai River Sprat",thailand
"Orange-Finned Loach",thailand
"Schistura Peninsulae",thailand
"Chilean Sea Chub",thailand
Gunnel,thailand
"Orchid Dottyback",thailand
Gadus,thailand
"Cirrhinus Microlepis",thailand
"Sohal Surgeonfish",thailand
Talma,thailand
"Paradise Threadfin",thailand
Hemigobius,thailand
"Striped Tigerfish",thailand
"Bearded Scorpionfish",thailand
"Yellowbreasted Damselfish",thailand
Piraiba,thailand
"Kaloi Sarawak",thailand
"Greenface Peacock Cichlid",thailand
"Ompok Pinnatus",thailand
"Fang'S Puffer",thailand
"Nuchequula Flavaxilla",thailand
