country,common_name,total_observations
Indonesia,"Giant Mudskipper",1418
Indonesia,"Green Sea Turtle",1345
Indonesia,"Clark'S Anemonefish",1064
Indonesia,"Ocellaris Anemonefish",984
Indonesia,"Hawksbill Sea Turtle",976
Indonesia,"Moorish Idol",854
Indonesia,"Blackspotted Puffer",830
Indonesia,"Striped Snakehead",809
Indonesia,Scorpionfish,697
Indonesia,"Pacific Trumpetfish",694
Indonesia,"Common Lionfish",634
Indonesia,"Blacklip Butterflyfish",605
Indonesia,"Amur Carp",583
Indonesia,"Leaf Scorpionfish",580
Indonesia,"Indo-Pacific Sergeant Major",573
Indonesia,"Three-Spot Dascyllu",570
Indonesia,"Titan Triggerfish",537
Indonesia,"Pink Skunk Anemonefish",505
Indonesia,"Bluespotted Fantail Ray",504
Indonesia,"Orangestripe Triggerfish",500
Indonesia,"Spine-Cheek Clownfish",496
Indonesia,"Regal Angelfish",495
Indonesia,"Spotfin Lionfish",495
Indonesia,Guppy,491
Indonesia,"Blacksaddle Toby",485
Indonesia,"Yellow Boxfish",485
Indonesia,"Painted Frogfish",484
Indonesia,"Giant Moray",481
Indonesia,"Harlequin Sweetlip",479
Indonesia,"Moon Wrasse",477
Indonesia,"Reef Manta Ray",471
Indonesia,"Bluestreak Cleaner Wrasse",467
Indonesia,Tilapia,459
Indonesia,"Ornate Ghostpipefish",456
Indonesia,"Map Puffer",455
Indonesia,"Checkerboard Wrasse",446
Indonesia,"Golden Damselfish",446
Indonesia,"Vagabond Butterflyfish",443
Indonesia,"Lemon Damsel",442
Indonesia,"Freckled Hawkfish",441
Indonesia,"Nile Tilapia",440
Indonesia,"Blacktip Reef Shark",439
Indonesia,"Emperor Angelfish",437
Indonesia,"Pygmy Seahorse",435
Indonesia,"Bridled Monocle Bream",434
Indonesia,"Staghorn Damsel",433
Indonesia,"Smallscale Scorpionfish",432
Indonesia,"Redtooth Triggerfish",432
Indonesia,"Redfin Butterflyfish",428
Indonesia,"Midnight Snapper",427
Indonesia,"Humphead Bannerfish",425
Indonesia,Periophthalmus,422
Indonesia,"Ribbon Eel",417
Indonesia,"Zebra Lionfish",411
