year,date,scientific_name,common_name,latitude,longitude,month
2015.0,2015-12-28,Hippocampus kuda,Common Seahorse,10.9480721186,103.0127886241,
2015.0,2015-12-28,Hippocampus kuda,Common Seahorse,10.929057115,103.0664389624,
2015.0,2015-12-27,Epinephelus quoyanus,Longfin Rockcod,10.0913850479,99.8247749077,
2015.0,2015-12-27,Siganus guttatus,Golden Rabbitfish,10.0913850479,99.8247749077,
2015.0,2015-12-26,Abudefduf sexfasciatus,Scissortail Sergeant,10.0913850479,99.8247749077,
2015.0,2015-12-26,Actinopterygii,Ray-finned Fishes,10.0913850479,99.8247749077,
2015.0,2015-12-26,Diodon liturosus,Blackblotched Porcupinefish,10.0913850479,99.8247749077,
2015.0,2015-12-26,Diagramma,,8.6387494029,98.2131957539,
2015.0,2015-12-26,Epinephelus,,8.6388766883,98.2139682301,
2015.0,2015-12-26,Sphyraena flavicauda,Yellowtail Barracuda,8.638579689,98.2137107381,
2015.0,2015-12-26,Gymnothorax favagineus,Laced Moray,8.6380705468,98.2131099232,
2015.0,2015-12-26,Lutjanus lutjanus,Bigeye Snapper,8.6379069593,98.2133245,
2015.0,2015-12-25,Gymnothorax javanicus,Giant Moray,9.3628609458,98.0219078064,
2015.0,2015-12-25,Sphyraena jello,Pickhandle Barracuda,9.362861,98.020878,
2015.0,2015-12-25,Amphiprion ephippium,Red Saddleback Anemonefish,9.3628609458,98.0219078064,
2015.0,2015-12-25,Hippocampus comes,Tiger Tail Seahorse,9.228803872,98.0343158956,
2015.0,2015-12-25,Hippocampus kuda,Common Seahorse,10.888148745,103.0071796034,
2015.0,2015-12-24,Oreochromis niloticus,Nile Tilapia,13.7313726804,100.5424787831,
2015.0,2015-12-23,Hippocampus comes,Tiger Tail Seahorse,7.9107432015,98.5515933407,
2015.0,2015-12-22,Cyprinidae,Cyprinids,17.9594453071,104.7559318319,
2015.0,2015-12-21,Heniochus acuminatus,Longfin Bannerfish,10.0913850479,99.8247749077,
2015.0,2015-12-21,Tylosurus crocodilus,Houndfish,10.0913850479,99.8247749077,
2015.0,2015-12-21,Holocentrinae,,10.0913850479,99.8247749077,
2015.0,2015-12-21,Flavocaranx bajad,Orange-spotted Trevally,10.0913850479,99.8247749077,
2015.0,2015-12-20,Abudefduf vaigiensis,Indo-Pacific Sergeant Major,7.8264525256,98.7841361999,
2015.0,2015-12-20,Cheilinus fasciatus,Redbreast Maori Wrasse,10.0913850479,99.8247749077,
2015.0,2015-12-20,Amphiprion perideraion,Pink Skunk Anemonefish,10.0913850479,99.8247749077,
2015.0,2015-12-20,Siganus virgatus,Doublebar Rabbitfish,10.0913850479,99.8247749077,
2015.0,2015-12-20,Periophthalmus chrysospilos,Gold-spotted Mudskipper,13.5172632833,100.6549267843,
2015.0,2015-12-20,Hippocampus kelloggi,Great Seahorse,10.0296825413,99.916603707,
2015.0,2015-12-19,Chaetodon wiebeli,Hong Kong Butterflyfish,10.0913850479,99.8247749077,
2015.0,2015-12-19,Scarus ghobban,Blue-barred Parrotfish,10.0913850479,99.8247749077,
2015.0,2015-12-17,Boleophthalmus boddarti,Boddart's Blue-spotted Mudskipper,6.378194,99.7901781,
2015.0,2015-12-17,Hemigymnus melapterus,Blackeye Thicklip,10.0913850479,99.8247749077,
2015.0,2015-12-17,Mugil,Common Mullets,10.0913850479,99.8247749077,
2015.0,2015-12-17,Pomacanthus annularis,Bluering Angelfish,10.0913850479,99.8247749077,
2015.0,2015-12-17,Plectropomus leopardus,Leopard Coralgrouper,10.0732523909,99.9327110425,
2015.0,2015-12-17,Hippocampus kuda,Common Seahorse,10.8203213128,103.1783944525,
2015.0,2015-12-17,Hippocampus mohnikei,Japanese Seahorse,10.8010935571,103.1469214431,
2015.0,2015-12-16,Balistoides viridescens,Titan Triggerfish,10.0913850479,99.8247749077,
2015.0,2015-12-11,Pangasianodon hypophthalmus,Iridescent Shark,14.3190216529,100.4395800631,
2015.0,2015-12-11,Diodon hystrix,Spotted Porcupinefish,8.6451344894,97.6424676963,
2015.0,2015-12-10,Chaetodon meyeri,Meyer's Butterflyfish,8.6733333333,97.6519444444,
2015.0,2015-12-09,Scarus ghobban,Blue-barred Parrotfish,8.6758333333,97.6455555556,
2015.0,2015-12-09,Acanthurus lineatus,Striped Surgeonfish,8.6663888889,97.6480555556,
2015.0,2015-12-08,Hippocampus kuda,Common Seahorse,10.9641226821,103.0416565235,
2015.0,2015-12-08,Hippocampus kuda,Common Seahorse,10.9524302618,103.1392898996,
2015.0,2015-12-02,Piaractus brachypomus,Red-bellied Pacu,14.1255940081,100.9453079957,
2015.0,2015-11-30,Hippocampus kuda,Common Seahorse,10.9352123081,103.0320563755,
2015.0,2015-11-27,Hippocampus kuda,Common Seahorse,10.9612082872,103.0873434738,
2015.0,2015-11-25,Hippocampus,Seahorses,7.750697877,98.5019097726,
2015.0,2015-11-25,Atule mate,Barred Yellowtail Scad,8.595629,97.667616,
2015.0,2015-11-25,Labroides bicolor,Bicolor Cleaner Wrasse,8.674377,97.641524,
2015.0,2015-11-25,Scarinae,Parrotfishes,8.674377,97.641524,
2015.0,2015-11-25,Elagatis bipinnulata,Rainbow Runner,8.674377,97.641524,
