date,scientific_name,common_name,latitude,longitude
2015-04-28,Delphinidae,Oceanic Dolphins,13.478136,120.816683
2015-04-04,Lagenodelphis hosei,Fraser's Dolphin,6.6813228,125.8279959
2016-07-15,Stenella longirostris,Spinner Dolphin,9.121254758,123.6937914109
2016-07-14,Tursiops truncatus,Common Bottlenose Dolphin,9.6155000995,123.1722860411
2016-07-14,Delphinidae,Oceanic Dolphins,9.0953481324,123.2303297147
2016-05-27,Grampus griseus,Risso's Dolphin,9.4780527778,123.9184416667
2016-05-26,Grampus griseus,Risso's Dolphin,9.5140666667,123.7032166667
2016-05-21,Stenella longirostris,Spinner Dolphin,9.0946378923,123.2677384699
2016-04-26,Delphininae,Long-nosed Dolphins,8.85,119.9333333
2016-04-26,Stenella attenuata,Pantropical Spotted Dolphin,8.85,119.9333333
2017-11-26,Orcaella brevirostris,Irrawaddy Dolphin,6.1971279738,117.7472199023
2017-11-26,Orcaella brevirostris,Irrawaddy Dolphin,6.1912777067,117.6104375384
2018-08-24,Orcaella brevirostris,Irrawaddy Dolphin,5.9918949291,117.7723228688
2018-07-28,Tursiops aduncus,Indo-Pacific Bottlenose Dolphin,4.5986058248,118.8703313735
2018-07-09,Stenella longirostris,Spinner Dolphin,9.5129075829,123.7838745117
2018-04-20,Physeter macrocephalus,Sperm Whale,9.6414948412,126.1552675274
2018-04-05,Balaenoptera,,4.5958254,118.8643398
2018-03-29,Lagenodelphis hosei,Fraser's Dolphin,9.4417292301,123.6399223083
2018-02-10,Stenella longirostris,Spinner Dolphin,10.3236604,123.7906581
2019-06-03,Tursiops aduncus,Indo-Pacific Bottlenose Dolphin,11.3358464,124.1156362
2019-04-15,Globicephala macrorhynchus,Short-finned Pilot Whale,9.4951976297,123.9919536421
2019-04-14,Delphinidae,Oceanic Dolphins,9.5055130114,123.9253748128
2019-03-17,Lagenodelphis hosei,Fraser's Dolphin,9.177313,123.413988
2020-07-25,Globicephala macrorhynchus,Short-finned Pilot Whale,20.0013375267,121.9263365983
2020-03-03,Grampus griseus,Risso's Dolphin,9.5556290156,123.7271807715
2020-02-13,Stenella longirostris,Spinner Dolphin,12.67464167,120.43843833
2020-02-06,Sousa chinensis,Indo-Pacific Humpback Dolphin,5.823637155,116.0988371082
2020-01-20,Stenella attenuata,Pantropical Spotted Dolphin,20.4304917714,121.9460936617
2020-01-05,Stenella longirostris,Spinner Dolphin,9.5062501913,123.6149597168
2022-12-29,Feresa attenuata,Pygmy Killer Whale,13.6042883333,121.0006388883
2022-09-12,Stenella longirostris,Spinner Dolphin,9.9426195,123.3701314
2022-07-18,Tursiops aduncus,Indo-Pacific Bottlenose Dolphin,8.0299833333,117.1649083333
2022-06-25,Tursiops aduncus,Indo-Pacific Bottlenose Dolphin,9.609997,123.829369
2022-06-19,Stenella longirostris,Spinner Dolphin,9.6234550717,123.1629445776
2022-04-21,Stenella longirostris,Spinner Dolphin,4.595087277,118.861436355
2022-04-04,Stenella longirostris,Spinner Dolphin,4.5954942895,118.8644215133
2022-01-15,Delphininae,Long-nosed Dolphins,12.6707570485,120.4761178496
2022-01-13,Pseudorca crassidens,False Killer Whale,12.7907136337,120.4116366892
2023-11-10,Stenella longirostris,Spinner Dolphin,20.5749179348,121.91930856
2023-11-09,Stenella longirostris,Spinner Dolphin,9.4671889549,123.7190770261
2023-11-07,Delphinidae,Oceanic Dolphins,12.5755693605,123.7397522982
2023-08-15,Stenella longirostris,Spinner Dolphin,9.3236081827,123.7881403416
2023-06-17,Stenella longirostris,Spinner Dolphin,9.9229175858,123.3423170415
2023-06-03,Tursiops truncatus,Common Bottlenose Dolphin,14.8971967437,120.2365154028
2023-03-19,Stenella attenuata,Pantropical Spotted Dolphin,13.6983795985,120.8379946034
2024-12-23,Peponocephala electra,Melon-headed Whale,9.849991,124.143543
2024-12-15,Stenella longirostris,Spinner Dolphin,9.5140544629,123.8152611628
2024-07-21,Stenella longirostris,Spinner Dolphin,9.5324242417,123.6875319028
2024-05-25,Orcaella brevirostris,Irrawaddy Dolphin,5.5883326764,118.9525744533
2024-04-26,Delphinidae,Oceanic Dolphins,9.9251708589,123.355759493
2024-03-12,Stenella longirostris,Spinner Dolphin,9.0800603207,123.2672664116
2024-03-06,Pseudorca crassidens,False Killer Whale,4.5076093072,118.777591566
2024-02-17,Stenella longirostris,Spinner Dolphin,9.5291440135,123.6961287702
2024-02-16,Globicephala macrorhynchus,Short-finned Pilot Whale,9.9945101744,125.1897307192
2024-02-16,Globicephala macrorhynchus,Short-finned Pilot Whale,9.9952509917,125.1892291461
2025-05-22,Steno bredanensis,Rough-toothed Dolphin,12.4286574134,120.2176634793
2025-04-28,Globicephalinae,Pilot Whales and allies,6.9400365,126.2340979
2025-03-02,Tursiops aduncus,Indo-Pacific Bottlenose Dolphin,11.5005444456,123.9770407696
2025-01-26,Stenella attenuata,Pantropical Spotted Dolphin,9.5566397321,123.124548085
2025-01-25,Stenella attenuata,Pantropical Spotted Dolphin,9.5450845874,123.1460483372
2025-01-21,Globicephala macrorhynchus,Short-finned Pilot Whale,13.478139,123.869861
