date,scientific_name,common_name,latitude,longitude
2024-12-23,Peponocephala electra,Melon-headed Whale,9.849991,124.143543
2024-12-15,Stenella longirostris,Spinner Dolphin,9.5140544629,123.8152611628
2024-07-21,Stenella longirostris,Spinner Dolphin,9.5324242417,123.6875319028
2024-05-25,Orcaella brevirostris,Irrawaddy Dolphin,5.5883326764,118.9525744533
2024-04-26,Delphinidae,Oceanic Dolphins,9.9251708589,123.355759493
2024-03-12,Stenella longirostris,Spinner Dolphin,9.0800603207,123.2672664116
2024-03-06,Pseudorca crassidens,False Killer Whale,4.5076093072,118.777591566
2024-02-17,Stenella longirostris,Spinner Dolphin,9.5291440135,123.6961287702
2024-02-16,Globicephala macrorhynchus,Short-finned Pilot Whale,9.9945101744,125.1897307192
2024-02-16,Globicephala macrorhynchus,Short-finned Pilot Whale,9.9952509917,125.1892291461
