date,scientific_name,common_name,latitude,longitude
2024-12-31,Kogia,Dwarf and Pygmy Sperm Whales,-2.5515550271,107.7126924321
2024-12-31,Stenella longirostris,Spinner Dolphin,-2.1436445,130.2589283333
2024-12-31,Tursiops aduncus,Indo-Pacific Bottlenose Dolphin,-1.5147110079,129.2417314464
2024-12-18,Orcaella brevirostris,Irrawaddy Dolphin,1.7327786176,110.2421089979
2024-12-18,Stenella longirostris,Spinner Dolphin,-1.9027232781,130.411886003
2024-12-15,Balaenoptera omurai,Omura's Whale,-0.5205727426,130.4591919127
2024-12-14,Balaenoptera omurai,Omura's Whale,-0.498526,130.446109
2024-12-14,Globicephala macrorhynchus,Short-finned Pilot Whale,-8.4856086449,125.9585322096
2024-12-14,Tursiops aduncus,Indo-Pacific Bottlenose Dolphin,-8.9535983333,116.36798
2024-12-13,Stenella longirostris,Spinner Dolphin,-1.1897276964,122.8735247047
2024-12-13,Peponocephala electra,Melon-headed Whale,-1.2088976923,122.8733752905
2024-12-09,Delphinidae,Oceanic Dolphins,-0.5881024723,130.3078242859
2024-12-06,Tursiops aduncus,Indo-Pacific Bottlenose Dolphin,-0.1942444444,130.2512194444
2024-12-06,Orcaella brevirostris,Irrawaddy Dolphin,1.6838024799,110.3084207695
2024-11-26,Odontoceti,Toothed Whales,1.1521343079,126.5045018326
2024-11-25,Stenella longirostris,Spinner Dolphin,-8.347253945,127.0550831383
2024-11-23,Stenella longirostris,Spinner Dolphin,-10.4800460823,105.6226813699
2024-11-23,Stenella longirostris,Spinner Dolphin,-10.4228429812,105.6694060406
2024-11-18,Physeter macrocephalus,Sperm Whale,-8.2360315054,118.9658710989
2024-11-18,Balaenoptera musculus brevicauda,Pygmy Blue Whale,-8.4969492892,125.740053438
2024-11-18,Balaenoptera musculus brevicauda,Pygmy Blue Whale,-8.5536756395,125.621412108
2024-11-18,Balaenoptera musculus brevicauda,Pygmy Blue Whale,-8.5791134468,125.6477841693
2024-11-18,Physeter macrocephalus,Sperm Whale,-8.5467261491,125.7423474489
2024-11-16,Balaenoptera musculus brevicauda,Pygmy Blue Whale,-8.5226064812,125.4044396746
2024-11-15,Balaenoptera,,-8.8319702783,115.0852686117
2024-11-12,Stenella coeruleoalba,Striped Dolphin,2.6944630688,132.0231999457
2024-11-12,Tursiops aduncus,Indo-Pacific Bottlenose Dolphin,-8.3389555833,127.0367661667
2024-11-09,Globicephala macrorhynchus,Short-finned Pilot Whale,-8.315136695,127.0094949717
2024-11-08,Balaenoptera musculus brevicauda,Pygmy Blue Whale,-8.2655271631,126.9441765712
2024-11-08,Balaenoptera musculus brevicauda,Pygmy Blue Whale,-8.4362994927,125.6146535216
2024-11-08,Stenella longirostris,Spinner Dolphin,-0.4486133333,130.7327383333
2024-11-07,Balaenoptera musculus brevicauda,Pygmy Blue Whale,-8.2439092798,126.9723789618
2024-11-07,Stenella attenuata,Pantropical Spotted Dolphin,-8.0717308587,130.2612164518
2024-11-05,Balaenoptera musculus brevicauda,Pygmy Blue Whale,-8.2971671204,126.8097702899
2024-11-04,Balaenoptera musculus,Blue Whale,-8.3342801426,125.5960490232
2024-11-03,Balaenoptera musculus brevicauda,Pygmy Blue Whale,-8.5673285369,125.6849073216
2024-11-02,Lagenodelphis hosei,Fraser's Dolphin,-8.4478460471,125.6030582315
2024-11-02,Globicephala macrorhynchus,Short-finned Pilot Whale,-8.4478460471,125.6030582315
2024-11-02,Grampus griseus,Risso's Dolphin,-8.4392324721,125.654903972
2024-10-30,Lagenodelphis hosei,Fraser's Dolphin,-8.4478460471,125.6030582315
2024-10-30,Globicephala macrorhynchus,Short-finned Pilot Whale,-8.4478460471,125.6030582315
2024-10-30,Feresa attenuata,Pygmy Killer Whale,-8.4478460471,125.6030582315
2024-10-30,Globicephala macrorhynchus,Short-finned Pilot Whale,-8.4478460471,125.6030582315
2024-10-30,Feresa attenuata,Pygmy Killer Whale,-8.4478460471,125.6030582315
2024-10-28,Kogia sima,Dwarf Sperm Whale,-7.3814913693,121.9590449804
2024-10-25,Sousa sahulensis,Australian Humpback Dolphin,-3.9631001635,134.6326396556
2024-10-22,Stenella longirostris,Spinner Dolphin,-7.5314631712,120.5846485911
2024-10-22,Stenella longirostris,Spinner Dolphin,-7.5301017254,120.5857264753
2024-10-22,Stenella longirostris,Spinner Dolphin,-7.5373812953,120.5960261579
2024-10-22,Stenella longirostris,Spinner Dolphin,-7.5277191849,120.5946528669
2024-10-22,Stenella longirostris,Spinner Dolphin,-7.5321996706,120.5885689106
2024-10-22,Stenella longirostris,Spinner Dolphin,-7.5313664563,120.5997469367
2024-10-22,Lagenodelphis hosei,Fraser's Dolphin,-7.4850748936,120.6217591057
2024-10-22,Lagenodelphis hosei,Fraser's Dolphin,-7.4866529465,120.6106855476
2024-10-22,Lagenodelphis hosei,Fraser's Dolphin,-7.4912020009,120.6015822406
2024-10-22,Lagenodelphis hosei,Fraser's Dolphin,-7.4724433129,120.6150971835
2024-10-22,Peponocephala electra,Melon-headed Whale,-7.4762244755,120.6015030632
2024-10-22,Peponocephala electra,Melon-headed Whale,-7.4850748936,120.6217591057
2024-10-22,Peponocephala electra,Melon-headed Whale,-7.4866529465,120.6106855476
2024-10-22,Peponocephala electra,Melon-headed Whale,-7.4912020009,120.6015822406
2024-10-22,Peponocephala electra,Melon-headed Whale,-7.4724433129,120.6150971835
2024-10-22,Peponocephala electra,Melon-headed Whale,-7.5089697449,120.6206822173
2024-10-21,Delphinidae,Oceanic Dolphins,-8.4512352908,119.5706586046
2024-10-21,Grampus griseus,Risso's Dolphin,-7.3921038711,121.9679162364
2024-10-20,Globicephala macrorhynchus,Short-finned Pilot Whale,-8.1397455497,123.715437874
2024-10-20,Globicephala macrorhynchus,Short-finned Pilot Whale,-8.1398619043,123.7156679236
2024-10-20,Globicephala macrorhynchus,Short-finned Pilot Whale,-8.1400348471,123.7159985813
2024-10-20,Globicephala macrorhynchus,Short-finned Pilot Whale,-8.1403132858,123.7168562244
2024-10-20,Stenella longirostris,Spinner Dolphin,-8.2062077085,123.9205015817
2024-10-20,Stenella longirostris,Spinner Dolphin,-8.20939339,123.9228190102
2024-10-20,Stenella longirostris,Spinner Dolphin,-8.1946206013,123.9294923463
2024-10-20,Stenella longirostris,Spinner Dolphin,-8.1950554897,123.9272607484
2024-10-20,Stenella longirostris,Spinner Dolphin,-8.1975861003,123.9245483723
2024-10-20,Stenella longirostris,Spinner Dolphin,-8.2011428311,123.92430255
2024-10-20,Stenella longirostris,Spinner Dolphin,-8.2014321345,123.9226473489
2024-10-20,Stenella longirostris,Spinner Dolphin,-8.2018128288,123.9230550446
2024-10-20,Stenella longirostris,Spinner Dolphin,-8.2023225452,123.9221109071
2024-10-20,Stenella longirostris,Spinner Dolphin,-8.2026434009,123.921424802
2024-10-20,Stenella longirostris,Spinner Dolphin,-8.2034520769,123.9221803317
2024-10-20,Stenella longirostris,Spinner Dolphin,-8.2028759149,123.921560883
2024-10-20,Stenella longirostris,Spinner Dolphin,-8.2022780705,123.92053689
2024-10-20,Stenella longirostris,Spinner Dolphin,-8.2034269285,123.919106833
2024-10-20,Stenella longirostris,Spinner Dolphin,-8.2047861652,123.9199779613
2024-10-20,Stenella longirostris,Spinner Dolphin,-8.2028322609,123.9172313792
2024-10-20,Stenella longirostris,Spinner Dolphin,-8.2026623557,123.9148345315
2024-10-20,Stenella longirostris,Spinner Dolphin,-8.207659985,123.9220465341
2024-10-20,Stenella longirostris,Spinner Dolphin,-8.2087783273,123.919939512
2024-10-19,Lagenodelphis hosei,Fraser's Dolphin,-8.6770161054,115.5182421952
2024-10-18,Physeter macrocephalus,Sperm Whale,-7.7847628984,125.8087391186
2024-10-18,Physeter macrocephalus,Sperm Whale,-7.799365003,125.8324836989
2024-10-18,Physeter macrocephalus,Sperm Whale,-7.7306876333,125.8544449483
2024-10-18,Physeter macrocephalus,Sperm Whale,-7.7084218967,125.8867506003
2024-10-18,Physeter macrocephalus,Sperm Whale,-7.766348448,125.8961511658
2024-10-18,Globicephala macrorhynchus,Short-finned Pilot Whale,-7.6409823512,125.932436473
2024-10-18,Cetacea,Cetaceans,-7.6318115447,125.9641280138
2024-10-16,Stenella longirostris,Spinner Dolphin,-8.1505165342,115.017582846
2024-10-16,Tursiops aduncus,Indo-Pacific Bottlenose Dolphin,-7.5355653014,126.4940126086
2024-10-16,Globicephala macrorhynchus,Short-finned Pilot Whale,-7.4923057859,126.5361158282
2024-10-16,Globicephala macrorhynchus,Short-finned Pilot Whale,-7.4851575038,126.5364591509
2024-10-16,Globicephala macrorhynchus,Short-finned Pilot Whale,-7.480732318,126.5368024737
2024-10-16,Globicephala macrorhynchus,Short-finned Pilot Whale,-7.4707035412,126.537935069
2024-10-16,Globicephala macrorhynchus,Short-finned Pilot Whale,-7.4832984722,126.5475481061
2024-10-16,Globicephala macrorhynchus,Short-finned Pilot Whale,-7.4784097988,126.5490036075
2024-10-16,Globicephala macrorhynchus,Short-finned Pilot Whale,-7.4955653001,126.5648014844
2024-10-16,Globicephala macrorhynchus,Short-finned Pilot Whale,-7.5014955393,126.5787145562
2024-10-16,Globicephala macrorhynchus,Short-finned Pilot Whale,-7.5072290088,126.5955486957
2024-10-16,Tursiops,Bottlenose Dolphins,-7.5450821933,126.7529303068
2024-10-14,Balaenoptera musculus brevicauda,Pygmy Blue Whale,-7.5535099869,128.5961935272
2024-10-13,Balaenoptera musculus brevicauda,Pygmy Blue Whale,-7.3301026382,128.5152006929
2024-10-11,Globicephalinae,Pilot Whales and allies,-7.8864930387,130.3148614118
2024-10-11,Globicephalinae,Pilot Whales and allies,-7.8871667347,130.3197845952
2024-10-11,Globicephalinae,Pilot Whales and allies,-7.8872611763,130.3199094333
2024-10-11,Globicephalinae,Pilot Whales and allies,-7.8874713143,130.3215538581
2024-10-06,Stenella longirostris,Spinner Dolphin,-8.0900817459,115.059202597
2024-10-05,Tursiops aduncus,Indo-Pacific Bottlenose Dolphin,2.8158565,104.1550248
2024-10-04,Stenella longirostris,Spinner Dolphin,-1.1785541291,127.5980533149
2024-10-02,Megaptera novaeangliae,Humpback Whale,-7.8069131,110.3698975
2024-10-02,Megaptera novaeangliae,Humpback Whale,-7.8069127,110.3698985
2024-10-02,Megaptera novaeangliae,Humpback Whale,-7.8069127,110.3698992
2024-09-29,Balaenoptera musculus brevicauda,Pygmy Blue Whale,-8.3226374807,127.015183579
2024-09-27,Grampus griseus,Risso's Dolphin,-8.4720461667,125.9017795833
2024-09-22,Megaptera novaeangliae,Humpback Whale,-10.4157969245,105.6806267425
2024-09-22,Megaptera novaeangliae,Humpback Whale,-10.4235321353,105.665909797
2024-09-22,Tursiops aduncus,Indo-Pacific Bottlenose Dolphin,-8.5925194444,119.7924194444
2024-09-22,Tursiops,Bottlenose Dolphins,-8.5476405406,119.6536454303
2024-09-21,Tursiops,Bottlenose Dolphins,-8.5909167174,119.6908800735
2024-09-12,Stenella,Side-striped Dolphins,-8.4083033333,117.8589633333
2024-09-12,Stenella longirostris,Spinner Dolphin,-8.5097333333,118.030995
2024-09-11,Megaptera novaeangliae,Humpback Whale,-8.464338,118.7549641
2024-09-08,Stenella longirostris,Spinner Dolphin,-8.5035817997,117.9912626997
2024-09-05,Pseudorca crassidens,False Killer Whale,-0.4508397658,130.7368138795
2024-09-05,Pseudorca crassidens,False Killer Whale,-0.4570907397,130.7648340853
2024-09-05,Pseudorca crassidens,False Killer Whale,-0.4846151008,130.6694868141
2024-09-05,Pseudorca crassidens,False Killer Whale,-0.4933057438,130.7898577644
2024-09-05,Pseudorca crassidens,False Killer Whale,-0.5703519519,130.7896753784
2024-09-05,Pseudorca crassidens,False Killer Whale,-0.5723690828,130.6418419443
2024-09-05,Pseudorca crassidens,False Killer Whale,-0.4513361092,130.7820757932
2024-08-27,Tursiops aduncus,Indo-Pacific Bottlenose Dolphin,-0.4366432333,130.7186605819
2024-08-23,Stenella longirostris,Spinner Dolphin,-8.1397051421,114.8316962644
2024-08-17,Orcaella brevirostris,Irrawaddy Dolphin,1.7740991231,110.303637556
2024-08-17,Orcaella brevirostris,Irrawaddy Dolphin,1.6098533769,110.396375583
2024-08-16,Stenella longirostris,Spinner Dolphin,1.7541712172,124.8371111322
2024-08-15,Orcaella brevirostris,Irrawaddy Dolphin,1.71887125,110.3130588879
2024-08-15,Orcaella brevirostris,Irrawaddy Dolphin,1.7964046038,110.3938970341
2024-08-12,Sousa chinensis,Indo-Pacific Humpback Dolphin,1.6944480988,110.4829936919
2024-08-12,Orcaella brevirostris,Irrawaddy Dolphin,1.724113079,110.3248113534
2024-08-11,Orcaella brevirostris,Irrawaddy Dolphin,1.6869729408,110.3327669613
2024-08-10,Orcaella brevirostris,Irrawaddy Dolphin,1.6996461734,110.3153052251
2024-08-09,Orcaella brevirostris,Irrawaddy Dolphin,1.7834192475,110.209744699
2024-08-09,Orcaella brevirostris,Irrawaddy Dolphin,1.6407874336,110.296460047
2024-08-08,Stenella longirostris,Spinner Dolphin,1.6651796222,124.7751272097
2024-08-07,Orcaella brevirostris,Irrawaddy Dolphin,1.7782117548,110.2843333501
2024-08-07,Tursiops aduncus,Indo-Pacific Bottlenose Dolphin,-8.5835640853,119.5068314199
2024-08-06,Orcaella brevirostris,Irrawaddy Dolphin,1.7430570167,110.3334397109
2024-08-04,Orcaella brevirostris,Irrawaddy Dolphin,1.7715303314,110.2666392543
2024-08-01,Tursiops,Bottlenose Dolphins,1.7295583333,110.4515833333
2024-07-31,Orcaella brevirostris,Irrawaddy Dolphin,1.1945118523,110.5487391364
2024-07-31,Orcaella brevirostris,Irrawaddy Dolphin,1.0762123409,110.4653310853
2024-07-29,Stenella longirostris,Spinner Dolphin,-0.948988,135.241535
2024-07-29,Cetacea,Cetaceans,-0.948988,135.241535
2024-07-28,Orcaella brevirostris,Irrawaddy Dolphin,1.6671337584,110.389799852
2024-07-28,Orcaella brevirostris,Irrawaddy Dolphin,1.7246796356,110.3473154737
2024-07-28,Orcaella brevirostris,Irrawaddy Dolphin,1.7372091586,110.3717206017
2024-07-28,Orcaella brevirostris,Irrawaddy Dolphin,1.7663090365,110.3824750855
2024-07-28,Orcaella brevirostris,Irrawaddy Dolphin,1.7792638032,110.2128932302
2024-07-28,Orcaella brevirostris,Irrawaddy Dolphin,1.7630740125,110.3385391575
2024-07-28,Orcaella brevirostris,Irrawaddy Dolphin,1.666268138,110.2020563211
2024-07-28,Orcaella brevirostris,Irrawaddy Dolphin,1.6322987043,110.229603016
2024-07-28,Orcaella brevirostris,Irrawaddy Dolphin,1.6304875046,110.3192649942
2024-07-28,Orcaella brevirostris,Irrawaddy Dolphin,1.6270564356,110.3314214343
2024-07-28,Orcaella brevirostris,Irrawaddy Dolphin,1.7317245009,110.3282455523
2024-07-28,Orcaella brevirostris,Irrawaddy Dolphin,1.6093399695,110.2466314153
2024-07-28,Orcaella brevirostris,Irrawaddy Dolphin,1.7234324967,110.2841159087
2024-07-28,Orcaella brevirostris,Irrawaddy Dolphin,1.6452951683,110.3963489453
2024-07-28,Orcaella brevirostris,Irrawaddy Dolphin,1.672668074,110.2190492976
2024-07-28,Orcaella brevirostris,Irrawaddy Dolphin,1.759234324,110.3350005963
2024-07-28,Orcaella brevirostris,Irrawaddy Dolphin,1.6276379473,110.2775883577
2024-07-28,Orcaella brevirostris,Irrawaddy Dolphin,1.6735645021,110.3758455665
2024-07-28,Orcaella brevirostris,Irrawaddy Dolphin,1.6845807718,110.3446862168
2024-07-28,Orcaella brevirostris,Irrawaddy Dolphin,1.6786801514,110.2386291922
2024-07-28,Orcaella brevirostris,Irrawaddy Dolphin,1.7201156111,110.3397204915
2024-07-28,Orcaella brevirostris,Irrawaddy Dolphin,1.7940268941,110.3831692166
2024-07-21,Stenella longirostris,Spinner Dolphin,-8.4770971367,125.9483163804
2024-07-21,Tursiops aduncus,Indo-Pacific Bottlenose Dolphin,-8.477985859,125.9155726433
2024-07-15,Balaenoptera omurai,Omura's Whale,-0.5108799904,130.4568896311
2024-07-15,Orcaella brevirostris,Irrawaddy Dolphin,1.7188464392,110.276665571
2024-07-15,Orcaella brevirostris,Irrawaddy Dolphin,1.6652419244,110.2467108739
2024-07-15,Orcaella brevirostris,Irrawaddy Dolphin,1.6277878291,110.2390407906
2024-07-15,Orcaella brevirostris,Irrawaddy Dolphin,1.661507431,110.3094664352
2024-07-11,Orcaella brevirostris,Irrawaddy Dolphin,1.726588334,110.2801850882
2024-07-08,Orcaella brevirostris,Irrawaddy Dolphin,1.7080729004,110.2613888456
2024-06-27,Orcaella brevirostris,Irrawaddy Dolphin,1.7803585646,110.5707540228
2024-06-16,Tursiops aduncus,Indo-Pacific Bottlenose Dolphin,-8.7114228372,115.4419155791
2024-06-14,Tursiops aduncus,Indo-Pacific Bottlenose Dolphin,-8.6174389722,119.72329
2024-06-11,Delphinidae,Oceanic Dolphins,-8.516139,118.0061239722
2024-06-10,Stenella longirostris,Spinner Dolphin,-8.1062094444,115.0590766667
2024-05-31,Delphininae,Long-nosed Dolphins,-8.6744476412,115.4414960871
2024-05-28,Mysticeti,Baleen Whales,-8.4181066667,127.3091466667
2024-05-25,Orcaella brevirostris,Irrawaddy Dolphin,5.5883326764,118.9525744533
2024-05-16,Balaenoptera omurai,Omura's Whale,-1.0320467503,130.5052175718
2024-05-13,Orcaella brevirostris,Irrawaddy Dolphin,1.6339619503,110.378408217
2024-05-13,Orcaella brevirostris,Irrawaddy Dolphin,1.7767223677,110.283763176
2024-05-13,Orcaella brevirostris,Irrawaddy Dolphin,1.7801094336,110.3595941222
2024-05-13,Orcaella brevirostris,Irrawaddy Dolphin,1.7203317225,110.2045647288
2024-05-13,Orcaella brevirostris,Irrawaddy Dolphin,1.6956700974,110.3483630265
2024-05-01,Tursiops aduncus,Indo-Pacific Bottlenose Dolphin,-8.5274748263,125.692025274
2024-05-01,Sousa sahulensis,Australian Humpback Dolphin,-0.460112595,130.600302574
2024-05-01,Tursiops aduncus,Indo-Pacific Bottlenose Dolphin,-8.485326742,125.7477964614
2024-04-26,Tursiops,Bottlenose Dolphins,-0.441592,130.745288
2024-04-25,Physeter macrocephalus,Sperm Whale,-0.4930414494,131.0496767105
2024-04-18,Delphinidae,Oceanic Dolphins,0.1672383333,130.0121
2024-03-06,Pseudorca crassidens,False Killer Whale,4.5076093072,118.777591566
2024-02-29,Stenella longirostris,Spinner Dolphin,-3.2853034793,122.4054529158
2024-02-24,Stenella longirostris,Spinner Dolphin,-10.4487136006,105.6411442906
2024-02-21,Tursiops aduncus,Indo-Pacific Bottlenose Dolphin,-8.1486816406,115.0397033691
2024-02-18,Lagenodelphis hosei,Fraser's Dolphin,-8.178974286,114.9943053724
2024-02-18,Delphininae,Long-nosed Dolphins,-8.7291420221,115.4503916724
2024-02-16,Peponocephala electra,Melon-headed Whale,-8.1385483333,117.7699266667
2024-02-16,Tursiops aduncus,Indo-Pacific Bottlenose Dolphin,-6.7439209587,105.2750292557
2024-02-15,Delphinidae,Oceanic Dolphins,-8.4273366667,119.926575
2024-02-14,Orcaella brevirostris,Irrawaddy Dolphin,1.65487063,110.3003572655
2024-02-14,Orcaella brevirostris,Irrawaddy Dolphin,1.75191491,110.2273288815
2024-02-14,Orcaella brevirostris,Irrawaddy Dolphin,1.7632533487,110.3385658969
2024-02-05,Balaenoptera omurai,Omura's Whale,-0.5635444852,130.6615171954
2024-02-04,Globicephalinae,Pilot Whales and allies,-0.1692363128,122.0109743684
2024-02-04,Tursiops aduncus,Indo-Pacific Bottlenose Dolphin,-0.2480893031,122.0652757481
2024-01-27,Tursiops aduncus,Indo-Pacific Bottlenose Dolphin,-5.7782213363,123.8948218359
2024-01-08,Balaenoptera omurai,Omura's Whale,-8.3496248932,126.9191345572
2024-01-07,Stenella longirostris,Spinner Dolphin,-8.1738653332,114.9231691641
2024-01-03,Balaenoptera omurai,Omura's Whale,-1.3011065106,130.3409687406
