date,scientific_name,common_name,latitude,longitude
2015-11-12,Balaenoptera,,13.2654015629,100.1949933171
2015-10-30,Balaenoptera edeni edeni,Eden's Whale (Eden's),13.3002403292,100.1197824129
2015-10-28,Balaenoptera edeni,Eden's Whale,12.9463364262,100.4301989079
2015-10-14,Balaenoptera edeni,Eden's Whale,13.3635617044,100.3054051101
2016-10-11,Orcaella brevirostris,Irrawaddy Dolphin,13.3421337954,100.2111500234
2016-08-16,Sousa chinensis,Indo-Pacific Humpback Dolphin,12.9682485589,100.9311504284
2017-12-16,Tursiops aduncus,Indo-Pacific Bottlenose Dolphin,8.8626026621,97.7334636493
2017-12-16,Stenella longirostris,Spinner Dolphin,8.920810446,97.5374411792
2017-12-14,Delphinus delphis tropicalis,Indo-Pacific Common Dolphin,8.7511323383,97.7208074222
2017-12-14,Delphinus delphis tropicalis,Indo-Pacific Common Dolphin,8.7085,97.6826
2017-12-14,Tursiops aduncus,Indo-Pacific Bottlenose Dolphin,9.0427218606,97.7610552683
2017-12-14,Delphinus delphis tropicalis,Indo-Pacific Common Dolphin,8.660133232,97.6055404544
2017-12-10,Balaenoptera edeni,Eden's Whale,13.2103069263,100.3035158198
2017-10-29,Balaenoptera,,13.3542893516,100.3721029311
2018-11-18,Balaenoptera edeni,Eden's Whale,13.185082663,100.3828412488
2018-11-18,Balaenoptera edeni,Eden's Whale,13.185082663,100.3828412488
2018-11-11,Orcaella brevirostris,Irrawaddy Dolphin,10.0103075862,104.4266767249
2018-11-05,Balaenoptera,,13.236389,100.092824
2018-11-05,Balaenoptera,,13.122672902,100.1469595898
2018-11-05,Balaenoptera,,13.236389,100.092824
2018-11-05,Balaenoptera,,13.1367401973,100.1410986967
2018-10-19,Balaenoptera,,13.23676886,100.18164357
2018-10-19,Orcaella brevirostris,Irrawaddy Dolphin,13.0718170361,100.2611296482
2018-10-19,Balaenoptera edeni,Eden's Whale,13.0617430447,100.3109351813
2018-10-18,Balaenoptera edeni,Eden's Whale,13.2996836748,100.2032128762
2018-10-13,Balaenoptera edeni,Eden's Whale,9.7121198,101.3431058
2018-10-12,Orcaella brevirostris,Irrawaddy Dolphin,9.6049741587,101.3731325661
2018-10-08,Balaenoptera,,13.261684,100.175808
2018-09-23,Orcaella brevirostris,Irrawaddy Dolphin,13.277997746,100.299865208
2018-09-23,Balaenoptera edeni,Eden's Whale,13.2883795416,100.1631810774
2018-04-26,Neophocaena phocaenoides,Indo-Pacific Finless Porpoise,6.6952790637,99.7037417193
2018-04-26,Neophocaena phocaenoides,Indo-Pacific Finless Porpoise,6.4490407544,99.6877821941
2018-02-14,Stenella longirostris,Spinner Dolphin,9.5364420136,98.0536664242
2019-12-30,Sousa chinensis,Indo-Pacific Humpback Dolphin,9.2781023719,99.7509399505
2019-12-28,Balaenoptera edeni,Eden's Whale,13.295175733,100.1776115969
2019-12-27,Tursiops truncatus,Common Bottlenose Dolphin,9.3796778836,97.8065339779
2019-12-27,Tursiops aduncus,Indo-Pacific Bottlenose Dolphin,9.5061985196,97.8297094669
2019-12-25,Stenella longirostris,Spinner Dolphin,7.4607113591,98.5151797891
2019-12-25,Balaenoptera,,8.9730780491,97.8089924647
2019-12-25,Balaenoptera edeni,Eden's Whale,8.9547704493,97.7988371379
2019-12-10,Balaenoptera edeni edeni,Eden's Whale (Eden's),13.134178585,100.0292078794
2019-09-27,Neophocaena phocaenoides,Indo-Pacific Finless Porpoise,6.238022896,99.8157024841
2019-08-04,Balaenoptera edeni,Eden's Whale,13.448981681,100.4332935065
2019-06-17,Sousa chinensis,Indo-Pacific Humpback Dolphin,6.3488521525,99.7714221863
2019-04-19,Balaenoptera edeni,Eden's Whale,13.3960494056,100.860455511
2019-02-10,Sousa chinensis,Indo-Pacific Humpback Dolphin,12.2551817538,100.0343252045
2020-12-05,Balaenoptera edeni edeni,Eden's Whale (Eden's),13.4923528781,100.3884005993
2020-11-28,Balaenoptera edeni,Eden's Whale,13.3086608784,100.143314242
2020-11-21,Balaenoptera edeni,Eden's Whale,13.1220007619,100.1549712742
2020-09-07,Balaenoptera edeni,Eden's Whale,13.313148264,100.1907168456
2020-09-07,Orcaella brevirostris,Irrawaddy Dolphin,13.3979793403,100.2420555157
2020-09-07,Balaenoptera,,13.315145,100.2135916667
2020-09-07,Orcaella brevirostris,Irrawaddy Dolphin,13.2490106816,99.8038220568
2020-09-04,Balaenoptera edeni edeni,Eden's Whale (Eden's),13.3115423476,100.2697219322
2020-08-29,Balaenoptera edeni,Eden's Whale,13.3617461429,100.3621539632
2020-07-26,Balaenoptera edeni,Eden's Whale,13.3075227736,100.27519989
2020-07-26,Balaenoptera edeni,Eden's Whale,13.312,100.224
2020-07-16,Megaptera novaeangliae,Humpback Whale,11.9179675501,101.1961597163
2020-06-27,Balaenoptera edeni,Eden's Whale,13.2772489236,100.052628151
2020-06-27,Balaenoptera,,13.2973145698,100.1279429299
2020-06-27,Balaenoptera,,13.284575,100.16546667
