date,scientific_name,common_name,latitude,longitude
2025-06-01,Tursiops aduncus,Indo-Pacific Bottlenose Dolphin,13.8651825613,100.6519935926
2025-05-30,Balaenoptera edeni,Eden's Whale,10.0305409205,98.5310537381
2025-05-22,Orcinus orca,Orca,10.0044972321,98.3646448226
2025-04-25,Cetacea,Cetaceans,9.9472746752,99.8850543887
2025-04-11,Sousa chinensis,Indo-Pacific Humpback Dolphin,8.0589554112,98.9318340776
2025-04-10,Globicephalinae,Pilot Whales and allies,10.1357549748,99.8167973951
2025-04-03,Delphininae,Long-nosed Dolphins,8.5778082859,97.7065322713
2025-04-03,Tursiops aduncus,Indo-Pacific Bottlenose Dolphin,8.6078716044,97.7948743832
2025-04-02,Tursiops aduncus,Indo-Pacific Bottlenose Dolphin,7.9054184018,98.5100617649
2025-03-09,Cetacea,Cetaceans,11.9814666667,102.7668633333
2025-02-11,Balaenoptera edeni,Eden's Whale,9.6456298148,99.6734788814
2025-02-01,Neophocaena phocaenoides,Indo-Pacific Finless Porpoise,12.3335738714,99.963644609
2025-01-30,Sousa chinensis,Indo-Pacific Humpback Dolphin,6.5553281486,99.6128607282
