fish_id,country
64,Thailand
155,Thailand
295,Thailand
652,Thailand
922,Thailand
690,Thailand
628,Thailand
1182,Thailand
2326,Thailand
648,Thailand
561,Thailand
864,Thailand
2327,Thailand
310,Thailand
713,Thailand
1499,Thailand
671,Thailand
108,Thailand
1730,Thailand
663,Thailand
742,Thailand
269,Thailand
147,Thailand
264,Thailand
1154,Thailand
1031,Thailand
2328,Thailand
105,Thailand
848,Thailand
206,Thailand
2329,Thailand
1616,Thailand
1189,Thailand
2330,Thailand
87,Thailand
1565,Thailand
1151,Thailand
1022,Thailand
245,Thailand
1338,Thailand
153,Thailand
1138,Thailand
1113,Thailand
115,Thailand
679,Thailand
137,Thailand
1134,Thailand
406,Thailand
81,Thailand
142,Thailand
219,Thailand
32,Thailand
166,Thailand
2331,Thailand
109,Thailand
621,Thailand
1607,Thailand
662,Thailand
159,Thailand
1718,Thailand
2332,Thailand
808,Thailand
2333,Thailand
2334,Thailand
616,Thailand
289,Thailand
2335,Thailand
2336,Thailand
1198,Thailand
370,Thailand
2337,Thailand
596,Thailand
835,Thailand
1856,Thailand
1029,Thailand
2338,Thailand
546,Thailand
384,Thailand
1229,Thailand
383,Thailand
2339,Thailand
2340,Thailand
387,Thailand
179,Thailand
151,Thailand
802,Thailand
1094,Thailand
80,Thailand
128,Thailand
2341,Thailand
19,Thailand
735,Thailand
1216,Thailand
2342,Thailand
2343,Thailand
731,Thailand
173,Thailand
413,Thailand
1140,Thailand
2344,Thailand
2345,Thailand
1143,Thailand
232,Thailand
2346,Thailand
580,Thailand
100,Thailand
56,Thailand
571,Thailand
1183,Thailand
812,Thailand
822,Thailand
792,Thailand
1199,Thailand
312,Thailand
721,Thailand
111,Thailand
2347,Thailand
744,Thailand
589,Thailand
1533,Thailand
2348,Thailand
2349,Thailand
2350,Thailand
678,Thailand
1244,Thailand
98,Thailand
821,Thailand
600,Thailand
1374,Thailand
2351,Thailand
783,Thailand
2352,Thailand
113,Thailand
980,Thailand
2173,Thailand
110,Thailand
2353,Thailand
225,Thailand
66,Thailand
1894,Thailand
1541,Thailand
286,Thailand
1695,Thailand
2354,Thailand
2355,Thailand
107,Thailand
1684,Thailand
135,Thailand
2356,Thailand
2357,Thailand
309,Thailand
633,Thailand
683,Thailand
1393,Thailand
1306,Thailand
1071,Thailand
93,Thailand
620,Thailand
231,Thailand
2358,Thailand
90,Thailand
326,Thailand
1978,Thailand
748,Thailand
708,Thailand
1920,Thailand
2359,Thailand
1319,Thailand
2360,Thailand
475,Thailand
