scientific_name,common_name,image,fish_id
Mullidae,Goatfish,https://inaturalist-open-data.s3.amazonaws.com/photos/17952779/medium.jpg,1
Upeneus,Upeneu,https://static.inaturalist.org/photos/120275205/medium.jpg,2
Inegocia Japonica,Rusty Flathead,https://inaturalist-open-data.s3.amazonaws.com/photos/167100030/medium.jpeg,3
Pleuronectoidei,Flatfish,https://inaturalist-open-data.s3.amazonaws.com/photos/256995322/medium.jpeg,4
Diagramma Pictum,Painted Sweetlip,https://inaturalist-open-data.s3.amazonaws.com/photos/14974635/medium.jpg,5
Dendrochirus Zebra,Zebra Lionfish,https://inaturalist-open-data.s3.amazonaws.com/photos/10940462/medium.jpeg,6
Lactoria Fornasini,Thornback Cowfish,https://static.inaturalist.org/photos/29806002/medium.jpg,7
Paragobiodon Xanthosoma,Emerald Coralgoby,https://static.inaturalist.org/photos/59057382/medium.jpeg,8
Opistognathus Randalli,Yellowbarred Jawfish,https://inaturalist-open-data.s3.amazonaws.com/photos/905387/medium.jpg,9
Taenianotus Triacanthus,Leaf Scorpionfish,https://static.inaturalist.org/photos/29368070/medium.jpg,10
Paraluteres Prionurus,Mimic Filefish,https://inaturalist-open-data.s3.amazonaws.com/photos/218843/medium.jpg,11
Hippocampus Denise,Denise'S Pygmy Seahorse,https://static.inaturalist.org/photos/66815797/medium.jpg,12
Paragobiodon Modestus,Redhead Pocillopora Goby,https://inaturalist-open-data.s3.amazonaws.com/photos/97757322/medium.jpeg,13
Solenostomus Paradoxus,Ornate Ghostpipefish,https://inaturalist-open-data.s3.amazonaws.com/photos/66886821/medium.jpg,14
Ophichthus Bonaparti,Napoleon Snake Eel,https://inaturalist-open-data.s3.amazonaws.com/photos/89235472/medium.jpg,15
Acanthochromis Polyacanthus,Spiny Chromi,https://inaturalist-open-data.s3.amazonaws.com/photos/15333833/medium.jpg,16
Pseudanthias Hypselosoma,Stocky Anthia,https://inaturalist-open-data.s3.amazonaws.com/photos/12079485/medium.jpg,17
Cirrhilabrus Cyanopleura,Bluesided Fairy Wrasse Complex,https://inaturalist-open-data.s3.amazonaws.com/photos/266487523/medium.jpg,18
Helcogramma Striata,Striped Triplefin,https://inaturalist-open-data.s3.amazonaws.com/photos/342511058/medium.jpg,19
Valenciennea Helsdingenii,Blacklined Glidergoby,https://inaturalist-open-data.s3.amazonaws.com/photos/296532261/medium.jpg,20
Oxycheilinus Bimaculatus,Twospot Wrasse,https://inaturalist-open-data.s3.amazonaws.com/photos/258833119/medium.jpg,21
Pseudalutarius Nasicornis,Rhino Filefish,https://inaturalist-open-data.s3.amazonaws.com/photos/59035196/medium.jpeg,22
Synchiropus Morrisoni,Morrison'S Dragonet,https://inaturalist-open-data.s3.amazonaws.com/photos/216816/medium.jpg,23
Pseudochromis Perspicillatus,Blackstripe Dottyback,https://inaturalist-open-data.s3.amazonaws.com/photos/215773/medium.jpg,24
Xiphasia Setifer,Snake Blenny,https://inaturalist-open-data.s3.amazonaws.com/photos/354268897/medium.jpg,25
Cymolutes Torquatus,Razor Wrasse,https://inaturalist-open-data.s3.amazonaws.com/photos/3687257/medium.jpg,26
Ostorhinchus Monospilus,Yelloweyed Cardinalfish,https://inaturalist-open-data.s3.amazonaws.com/photos/75325769/medium.jpeg,27
Amblypomacentrus Breviceps,Blackbanded Damsel,https://inaturalist-open-data.s3.amazonaws.com/photos/257652980/medium.jpg,28
Ophichthus Altipennis,Black-Finned Snake Eel,https://inaturalist-open-data.s3.amazonaws.com/photos/187257897/medium.jpeg,29
Oxycheilinus Digramma,Linedcheek Wrasse,https://static.inaturalist.org/photos/115339681/medium.jpg,30
Ostracion Solorense,Striped Boxfish,https://inaturalist-open-data.s3.amazonaws.com/photos/256021023/medium.jpg,31
Odonus Niger,Redtooth Triggerfish,https://inaturalist-open-data.s3.amazonaws.com/photos/19554199/medium.jpg,32
Ariosoma Scheelei,Tropical Conger,https://inaturalist-open-data.s3.amazonaws.com/photos/30737110/medium.jpeg,33
Acentronura Breviperula,Shortpouch Pygmy Pipehorse,https://static.inaturalist.org/photos/30777086/medium.jpg,34
Trachinocephalus Trachinus,Painted Grinner,https://inaturalist-open-data.s3.amazonaws.com/photos/91604777/medium.jpg,35
Gymnothorax,Common Moray,https://inaturalist-open-data.s3.amazonaws.com/photos/34935/medium.jpg,36
Oplopomus Oplopomus,Pretty Lagoongoby,https://inaturalist-open-data.s3.amazonaws.com/photos/244307228/medium.jpg,37
Trichonotus Elegans,Elegant Sand Diver,https://inaturalist-open-data.s3.amazonaws.com/photos/109440289/medium.jpeg,38
Oplopomus Caninoides,Shy Lagoongoby,https://inaturalist-open-data.s3.amazonaws.com/photos/441839908/medium.jpeg,39
Ostorhinchus Hoevenii,Frostfin Cardinalfish,https://inaturalist-open-data.s3.amazonaws.com/photos/237987657/medium.jpg,40
Callionymidae,Dragonet,https://inaturalist-open-data.s3.amazonaws.com/photos/10499/medium.jpg,41
Cheilinus Chlorourus,Floral Maori Wrasse,https://inaturalist-open-data.s3.amazonaws.com/photos/59009975/medium.jpeg,42
Coradion Melanopus,Two-Eyed Coralfish,https://inaturalist-open-data.s3.amazonaws.com/photos/234390737/medium.jpg,43
Fusigobius Signipinnis,Flasher Sandgoby,https://inaturalist-open-data.s3.amazonaws.com/photos/67978656/medium.jpg,44
Gymnothorax Fimbriatus,Fimbriated Moray,https://inaturalist-open-data.s3.amazonaws.com/photos/108488683/medium.jpg,45
Ostorhinchus Aureus,Ringtail Cardinalfish,https://static.inaturalist.org/photos/22703123/medium.jpg,46
Onigocia Spinosa,Midget Flathead,https://inaturalist-open-data.s3.amazonaws.com/photos/33599218/medium.jpeg,47
Heteroconger Perissodon,Black Garden Eel,https://static.inaturalist.org/photos/59057559/medium.jpeg,48
Amblygobius Sphynx,Sphynx Goby,https://inaturalist-open-data.s3.amazonaws.com/photos/256454525/medium.jpg,49
Iniistius Melanopus,Yellowpatch Razorfish,https://inaturalist-open-data.s3.amazonaws.com/photos/184505454/medium.jpg,50
Lubricogobius Exiguus,Yellow Pygmy Goby,https://static.inaturalist.org/photos/29221081/medium.jpg,51
Ostracion Rhinorhynchos,Horn-Nose Boxfish,https://static.inaturalist.org/photos/59057199/medium.jpeg,52
Tetrosomus Gibbosus,Humpback Turretfish,https://inaturalist-open-data.s3.amazonaws.com/photos/109415024/medium.jpg,53
Callechelys Marmorata,Marbled Snake Eel,https://inaturalist-open-data.s3.amazonaws.com/photos/197243089/medium.jpg,54
Pseudanthias Cheirospilos,Pacific Lyretail Anthia,https://static.inaturalist.org/photos/11408933/medium.jpg,55
Novaculichthys Taeniourus,Rockmover Wrasse,https://inaturalist-open-data.s3.amazonaws.com/photos/19179735/medium.jpg,56
