date,scientific_name,common_name,latitude,longitude
2023-05-31,Plotosus lineatus,Striped Eel Catfish,13.5018907,120.95412
2023-05-31,Parapercis cylindrica,Sharpnose Sandperch,13.5018907,120.95412
2023-05-31,Scorpaeninae,Typical Scorpionfishes,13.5018907,120.95412
2023-05-31,Gymnothorax richardsonii,Richardson's Moray,13.5018907,120.95412
2023-05-31,Scorpaenopsis,Scorpionfishes,13.5018907,120.95412
2023-05-31,Solenostomus paradoxus,Ornate Ghostpipefish,13.5018907,120.95412
2023-05-31,Calloplesiops altivelis,Comet,13.5018907,120.95412
2023-05-31,Dunckerocampus dactyliophorus,Banded Pipefish,12.5745691143,122.2439770132
2023-05-31,Corythoichthys,,12.5745691143,122.2439770132
2023-05-31,Opistognathus,Jawfishes,12.5745691143,122.2439770132
2023-05-31,Ctenogobiops,,12.5745691143,122.2439770132
2023-05-31,Amphiprion clarkii,Clark's Anemonefish,12.5745691143,122.2439770132
2023-05-31,Coradion melanopus,Two-eyed Coralfish,12.5745691143,122.2439770132
2023-05-31,Hippocampus pontohi,Weedy Pygmy Seahorse,12.4648789909,122.2982651581
2023-05-31,Coris pictoides,Pixy Wrasse,12.552135112,122.2326841546
2023-05-31,Parapercis snyderi,Blackfin Sandperch,12.552135112,122.2326841546
2023-05-31,Oxycheilinus bimaculatus,Twospot Wrasse,12.552135112,122.2326841546
2023-05-31,Iniistius pavo,Peacock Razorfish,12.552135112,122.2326841546
2023-05-31,Scorpaeninae,Typical Scorpionfishes,12.552135112,122.2326841546
2023-05-31,Neolissochilus soroides,Golden Mahseer Barb,5.7710568194,117.3716235685
2023-05-31,Oreochromis,Tilapias,13.4349883333,123.5159616667
2023-05-31,Thalassoma hardwicke,Sixbar Wrasse,12.5848068673,122.2573175588
2023-05-31,Syngnathinae,Tail-brooding Pipefishes,12.5848068673,122.2573175588
2023-05-31,Bothidae,Lefteye Flounders,12.5848068673,122.2573175588
2023-05-31,Amphiprion clarkii,Clark's Anemonefish,12.5848068673,122.2573175588
2023-05-31,Myrichthys colubrinus,Banded Snake Eel,12.5881575882,122.2505369344
2023-05-31,Aeoliscus,,12.5881575882,122.2505369344
2023-05-31,Epinephelus ongus,Specklefin Grouper,12.5881575882,122.2505369344
2023-05-31,Platax pinnatus,Dusky Batfish,12.5881575882,122.2505369344
2023-05-31,Labridae,Wrasses and Parrotfishes,12.5881575882,122.2505369344
