year,date,scientific_name,common_name,latitude,longitude
2020,2020-12-31,Mola alexandrini,Bump-head Mola,4.3144555627,118.9040440828
2020,2020-12-31,Pterophyllum,Freshwater Angelfishes,-6.6015656944,106.7497676944
2020,2020-12-31,Channa striata,Striped Snakehead,1.4093663,103.8693328
2020,2020-12-31,Betta splendens,Siamese Fighting Fish,-6.6496648611,106.7633056389
2020,2020-12-31,Paramonacanthus choirocephalus,Whitebar Filefish,1.3053716667,103.9423366667
2020,2020-12-30,Hazeus profusus,,-8.5555609856,125.5080417187
2020,2020-12-30,Lutjanus kasmira,Bluestriped Snapper,-8.5554281439,125.5080876523
2020,2020-12-30,Gymnothorax phasmatodes,Ghost Moray,-8.5553594261,125.5081079717
2020,2020-12-30,Lutjanus gibbus,Humpback Snapper,-8.5554573199,125.5080937826
2020,2020-12-30,Lactoria cornuta,Longhorn Cowfish,-8.5553395334,125.508162957
2020,2020-12-30,Antennarius striatus,Striate Anglerfish,-8.5554859297,125.5079915711
2020,2020-12-30,Antennarius striatus,Striate Anglerfish,-8.5554604789,125.5080441618
2020,2020-12-30,Brachaluteres taylori,Puffer Filefish,-8.5555291773,125.5079314847
2020,2020-12-30,Antennarius pictus,Painted Frogfish,-8.5553997554,125.5081459904
2020,2020-12-30,Periophthalmodon schlosseri,Giant Mudskipper,1.4462559,103.7293662
2020,2020-12-30,Betta kuehnei,Satun Betta,5.6148447315,102.2745758383
2020,2020-12-30,Cyprininae,Typical Carps,-6.6391375919,106.7703576386
2020,2020-12-30,Poecilia reticulata,Guppy,-7.2572450577,107.07644653
2020,2020-12-29,Betta splendens,Siamese Fighting Fish,-6.5282529017,106.798321344
2020,2020-12-29,Cyprinus,Typical Carps,-6.4770155096,106.8506110087
2020,2020-12-29,Aplocheilus armatus,Whitespot,1.3605708509,103.7724177142
2020,2020-12-29,Poecilia,Mollies,-6.321933,106.9738317222
2020,2020-12-29,Oxudercinae,Mudskippers,1.4460883333,103.7315616667
2020,2020-12-29,Betta splendens,Siamese Fighting Fish,-6.4770155096,106.8506110087
2020,2020-12-29,Periophthalmodon schlosseri,Giant Mudskipper,1.4441790998,103.7348835696
2020,2020-12-29,Pangasianodon hypophthalmus,Iridescent Shark,1.5683219216,103.6367394634
2020,2020-12-28,Clarias gariepinus,Sharptooth Catfish,1.4093663,103.8693328
2020,2020-12-28,Centrogenys vaigiensis,False Scorpionfish,1.2269699188,103.7515826669
2020,2020-12-28,Channa striata,Striped Snakehead,1.4094763,103.8693775
2020,2020-12-28,Hippocampus comes,Tiger Tail Seahorse,1.2147163437,103.7998222482
2020,2020-12-28,Istigobius decoratus,Decorated Sandgoby,1.2270322139,103.7515523274
2020,2020-12-28,Mayaheros urophthalmus,Mayan Cichlid,1.4460822347,103.7289770465
2020,2020-12-28,Paracentropogon longispinis,Whiteface Waspfish,1.2273103862,103.7512790028
2020,2020-12-28,Pangasianodon hypophthalmus,Iridescent Shark,1.4898646553,103.6257227858
2020,2020-12-28,Actinopterygii,Ray-finned Fishes,1.4439934626,103.7346248057
2020,2020-12-28,Clarias gariepinus,Sharptooth Catfish,1.4094763,103.8693775
2020,2020-12-28,Aplocheilus armatus,Whitespot,1.34132,103.8314966667
2020,2020-12-28,Cichlidae,Cichlids,1.4464045006,103.7316122989
2020,2020-12-27,Periophthalmodon schlosseri,Giant Mudskipper,1.959316,102.6432292
2020,2020-12-27,Boleophthalmus,Blue-spotted Mudskippers,1.959316,102.6432292
2020,2020-12-27,Pangasianodon,,-6.4792098724,106.8001395464
2020,2020-12-27,Polypterus bichir,Nile Bichir,1.385036,103.721658
2020,2020-12-27,Cyprinus rubrofuscus,Amur Carp,-6.5458690328,106.7725962773
2020,2020-12-27,Ctenochaetus cyanocheilus,Bluelip Bristletooth,-8.4786726327,125.9300924564
2020,2020-12-27,Cephalopholis urodeta,Flagtail Grouper,-8.4786354551,125.9302108014
2020,2020-12-27,Aulostomus chinensis,Pacific Trumpetfish,-8.4784814444,125.930127158
2020,2020-12-27,Pseudocoris yamashiroi,Redspot Wrasse,-8.4786970762,125.9302236961
2020,2020-12-27,Solenostomus cyanopterus,Robust Ghostpipefish,-8.4786864069,125.9296741156
2020,2020-12-27,Caracanthus maculatus,Spotted Croucher,-8.4785664058,125.9304206693
2020,2020-12-27,Poecilia sphenops,Common Molly,1.436831769,103.7353624249
2020,2020-12-27,Lethrinus harak,Thumbprint Emperor,-8.4784975416,125.9307522799
2020,2020-12-27,Mulloidichthys flavolineatus,Yellowstripe Goatfish,-8.4783699435,125.9309852444
2020,2020-12-27,Acanthurus pyroferus,Mimic Surgeonfish,-8.4785334509,125.9306330054
2020,2020-12-27,Centropyge multifasciata,Barred Angelfish,-8.4780365903,125.9311823868
2020,2020-12-27,Plectroglyphidodon obreptus,Western Gregory,1.2680833333,103.8603833333
2020,2020-12-27,Scolopsis trilineata,Threeline Monocle Bream,-8.4785775764,125.9308399349
2020,2020-12-27,Ecsenius bicolor,Bicolor Blenny,-8.4780780905,125.9312051898
2020,2020-12-27,Chaetodon unimaculatus,Teardrop Butterflyfish,-8.4786090803,125.929861919
2020,2020-12-27,Mugilidae,Mullets,1.4437700994,103.7358249604
2020,2020-12-27,Chromis atripectoralis,Black-axil Chromis,-8.4785904286,125.9306197527
2020,2020-12-27,Chaetodon melannotus,Blackback Butterflyfish,-8.4790021775,125.9300698113
2020,2020-12-27,Zebrasoma scopas,Brown Tang,-8.4786205291,125.9304715298
2020,2020-12-27,Chaetodon ulietensis,Pacific Double-saddle Butterflyfish,-8.4787899252,125.9298336972
2020,2020-12-27,Centropyge bispinosa,Coral Beauty,-8.4787295126,125.9294794856
2020,2020-12-27,Chaetodon lunula,Raccoon Butterflyfish,-8.478492924,125.9299964248
2020,2020-12-27,Ctenochaetus cyanocheilus,Bluelip Bristletooth,-8.478662664,125.9302754341
