date,scientific_name,common_name,latitude,longitude
2022-11-30,Mayaheros urophthalmus,Mayan Cichlid,3.1543721667,101.7466716667
2022-11-30,Clarias batrachus,Walking Catfish,-7.9579116229,110.6705547497
2022-11-30,Boleophthalmus boddarti,Boddart's Blue-spotted Mudskipper,1.6641125536,110.4302043468
2022-11-30,Toxotes jaculatrix,Banded Archerfish,-6.1225764471,106.8434153125
2022-11-30,Gymnothorax rueppelliae,Yellow-headed Moray,-8.7151611,115.4590565
2022-11-30,Pterygoplichthys,Sailfin Catfishes,-6.550818399,106.7273115367
2022-11-30,Lethrinus nebulosus,Spangled Emperor,1.3155121056,103.9596674105
2022-11-30,Mystus gulio,Gulio Catfish,1.3860169895,103.9091977398
2022-11-30,Periophthalmodon schlosseri,Giant Mudskipper,1.378321309,103.9514485002
2022-11-30,Etroplus suratensis,Green Chromide,1.3782006306,103.9527486
2022-11-30,Zenarchopterus buffonis,Northern River Garfish,1.6639671051,110.4313382506
2022-11-30,Strongylura strongylura,Blackspot Longtom,1.3782006306,103.9527486
2022-11-30,Zenarchopterus buffonis,Northern River Garfish,1.3776835997,103.9527207
2022-11-30,Gymnothorax favagineus,Laced Moray,-4.5119467632,129.9467807622
2022-11-30,Xiphophorus maculatus,Southern Platyfish,1.379197,103.9497436
2022-11-30,Clarias batrachus,Walking Catfish,-7.9524427652,110.6722039729
2022-11-30,Periophthalmus,,1.3812202,103.9541597
2022-11-30,Plectroglyphidodon dickii,Blackbar Damselfish,0.2846720885,127.4133714495
2022-11-30,Scarus frenatus,Sixband Parrotfish,0.2846720885,127.4133714495
2022-11-30,Gymnothorax,Common Morays,-1.0318530582,130.5052175
2022-11-30,Monopterus,,-7.7955798,110.3694896
2022-11-30,Chanos chanos,Milkfish,-0.799584,130.576764
2022-11-29,Clarias nieuhofii,Slender Walking Catfish,1.3996572449,103.8079779288
2022-11-29,Clarias nieuhofii,Slender Walking Catfish,1.3996307,103.8079672
2022-11-29,Notopterus notopterus,Bronze Featherback,5.8791205025,102.1337646445
2022-11-29,Actinopterygii,Ray-finned Fishes,-7.7955798,110.3694896
2022-11-29,Periophthalmodon schlosseri,Giant Mudskipper,1.7234630039,110.4451331869
2022-11-29,Barbodes,,-7.9832749442,110.2115748078
2022-11-29,Anabas testudineus,Climbing Perch,3.6871013,101.0749426997
2022-11-29,Anabas testudineus,Climbing Perch,3.6871013472,101.0749427778
2022-11-29,Anabas testudineus,Climbing Perch,3.6871013472,101.0749427778
2022-11-29,Oreochromis niloticus,Nile Tilapia,3.2138939525,101.7594584135
2022-11-29,Oreochromis niloticus,Nile Tilapia,3.0192972222,101.61435
2022-11-29,Periophthalmus argentilineatus,Barred Mudskipper,1.7291416793,110.451694876
2022-11-29,Anabas testudineus,Climbing Perch,1.697202,103.921411
2022-11-29,Gobioidei,Gobies and allies,-8.0721950278,114.4208602778
2022-11-28,Balistoides viridescens,Titan Triggerfish,-8.0993455475,114.5125160492
2022-11-28,Osteochilus vittatus,Hard-lipped Barb,4.4170551111,101.1876068056
2022-11-28,Rasbora trilineata,Scissortail Rasbora,4.4160094419,101.1876849085
2022-11-28,Xiphophorus hellerii,Green Swordtail,3.1021480649,101.4041682246
