year,date,scientific_name,common_name,latitude,longitude
2022,2022-12-31,Scorpaenopsis oxycephala,Smallscale Scorpionfish,7.8124076463,98.4730571212
2022,2022-12-31,Nemipterus,Threadfin Breams,7.2270383333,99.3963
2022,2022-12-31,Megalaspis cordyla,Torpedo Scad,7.2270466667,99.396295
2022,2022-12-31,Scomberoides commersonnianus,Giant Queenfish,7.2271116667,99.39627
2022,2022-12-31,Toxotes jaculatrix,Banded Archerfish,7.2598916997,99.3969708997
2022,2022-12-31,Toxotes jaculatrix,Banded Archerfish,7.2512791082,99.3870497048
2022,2022-12-31,Oreochromis niloticus,Nile Tilapia,13.1240472222,101.4050811111
2022,2022-12-31,Trachyrhamphus bicoarctatus,Bentstick Pipefish,7.8580386842,98.7667697124
2022,2022-12-31,Periophthalmus variabilis,Dusky-gilled Mudskipper,13.3625168911,99.9477017566
2022,2022-12-31,Zenarchopterus buffonis,Northern River Garfish,13.3623083333,99.9477783333
2022,2022-12-31,Pangasianodon hypophthalmus,Iridescent Shark,13.7257061641,100.51109099
2022,2022-12-31,Rasbora paviana,Sidestripe rasbora,15.6103401145,99.3189275265
2022,2022-12-31,Heniochus acuminatus,Longfin Bannerfish,9.9449495009,99.990232174
2022,2022-12-31,Pomacanthus sexstriatus,Sixband Angelfish,9.9452401105,99.9898734287
2022,2022-12-31,Siganus javus,Java Rabbitfish,9.9452084077,99.9903226987
2022,2022-12-31,Platax teira,Longfin Batfish,9.9452411466,99.9900464312
2022,2022-12-31,Chromis cinerascens,Green Chromis,9.9450556353,99.98987477
2022,2022-12-31,Thalassoma lunare,Moon Wrasse,9.9451302031,99.9899606008
2022,2022-12-31,Pomacanthus annularis,Bluering Angelfish,9.9449822426,99.9901901541
2022,2022-12-31,Epinephelus fasciatus,Blacktip Grouper,9.9447284072,99.9899744592
2022,2022-12-31,Sphyraena,Barracudas,9.9452104064,99.9900186814
2022,2022-12-31,Amphiprion perideraion,Pink Skunk Anemonefish,9.9453146692,99.9900352709
2022,2022-12-31,Pomacentrus tripunctatus,Threespot Damsel,8.0024679135,98.8403294635
2022,2022-12-30,Istiblennius dussumieri,Dussumier's Rockskipper,12.6319722222,101.5657055556
2022,2022-12-30,Periophthalmodon schlosseri,Giant Mudskipper,13.43916375,100.99741445
2022,2022-12-30,Parachaetodon ocellatus,Ocellate Butterflyfish,13.2838483333,100.9246830556
2022,2022-12-30,Epinephelus lanceolatus,Giant Grouper,13.2005948116,100.9167980862
2022,2022-12-30,Hippocampus kuda,Common Seahorse,13.2384388623,100.8144500453
2022,2022-12-30,Muraenidae,Morays,13.2842752778,100.9245455556
2022,2022-12-30,Pterois volitans,Common Lionfish,13.2842583333,100.9245477778
2022,2022-12-30,Abudefduf vaigiensis,Indo-Pacific Sergeant Major,13.2844191667,100.9245433333
2022,2022-12-30,Abudefduf sexfasciatus,Scissortail Sergeant,13.2844291667,100.9245402778
2022,2022-12-30,Naso vlamingii,Bignose Unicornfish,13.2845447222,100.9245019444
2022,2022-12-30,Amphiprion percula,Percula Anemonefish,13.2845458333,100.9245069444
2022,2022-12-30,Cheilinus chlorourus,Floral Maori Wrasse,7.9769513061,98.8106056296
2022,2022-12-30,Epinephelus quoyanus,Longfin Rockcod,7.9763138036,98.8103910516
2022,2022-12-30,Siganus vermiculatus,Maze Rabbitfish,7.9769300548,98.8101764742
2022,2022-12-30,Lutjanus monostigma,Onespot Snapper,7.9766963041,98.8102408478
2022,2022-12-30,Siganus guttatus,Golden Rabbitfish,7.976016303,98.810777291
2022,2022-12-30,Mugilidae,Mullets,7.9769725544,98.8106056276
2022,2022-12-30,Salarias fasciatus,Jewelled Blenny,7.9772275566,98.8098116958
2022,2022-12-30,Gerres oyena,Blacktip Silverbiddy,8.0096711642,98.8373897619
2022,2022-12-30,Lutjanus decussatus,Checkered Snapper,7.9768663051,98.8105197927
2022,2022-12-30,Salarias fasciatus,Jewelled Blenny,7.977546307,98.8096829497
2022,2022-12-30,Salarias fasciatus,Jewelled Blenny,7.9773550568,98.8096829497
2022,2022-12-30,Epinephelus fuscoguttatus,Flowery Rockcod,7.8440620248,98.9414834774
2022,2022-12-30,Halichoeres argus,Argus Wrasse,7.9771000564,98.8099189841
2022,2022-12-30,Halichoeres argus,Argus Wrasse,7.9772700545,98.8101979334
2022,2022-12-30,Halichoeres chloropterus,Pastel-green Wrasse,7.9757188015,98.8106914603
2022,2022-12-30,Halichoeres argus,Argus Wrasse,7.9768238058,98.8103910529
2022,2022-12-30,Lutjanus fulviflamma,Blackspot Snapper,7.9768025558,98.8100477304
2022,2022-12-30,Gerres erythrourus,Short Silverbiddy,8.0049540047,98.8390634603
2022,2022-12-30,Gerres longirostris,Strongspine Silverbiddy,8.004231552,98.8391922064
2022,2022-12-30,Actinopterygii,Ray-finned Fishes,7.9764200546,98.8103695952
2022,2022-12-30,Cephalopholis formosa,Bluelined Rockcod,7.9766988708,98.8104364598
2022,2022-12-30,Abudefduf vaigiensis,Indo-Pacific Sergeant Major,8.0040152726,98.8392933258
2022,2022-12-30,Lutjanus biguttatus,Twospot Snapper,7.9766538054,98.8103266799
2022,2022-12-30,Arothron nigropunctatus,Blackspotted Puffer,7.9762075538,98.8102193915
2022,2022-12-30,Balistoides viridescens,Titan Triggerfish,7.9770788064,98.8103266799
2022,2022-12-30,Kyphosus cinerascens,Highfin Chub,7.9767123841,98.8101085918
2022,2022-12-30,Cephalopholis cyanostigma,Bluespotted Grouper,7.9773338068,98.8099189841
2022,2022-12-30,Siganus javus,Java Rabbitfish,7.9767813057,98.8106914603
2022,2022-12-30,Heniochus singularius,Singular Bannerfish,7.9766325553,98.809532746
2022,2022-12-30,Hemigymnus melapterus,Blackeye Thicklip,7.9762075538,98.8099618995
2022,2022-12-30,Salarias fasciatus,Jewelled Blenny,7.9773763068,98.8098331534
2022,2022-12-30,Monodactylus argenteus,Diamondfish,7.9766538054,98.8101764762
2022,2022-12-30,Alepes vari,Herring scad,7.9755913008,98.8116570556
2022,2022-12-30,Cheilinus fasciatus,Redbreast Maori Wrasse,8.003572844,98.8395140714
2022,2022-12-30,Pomacentrus,,10.3489817268,103.9453196964
2022,2022-12-30,Chelmon rostratus,Copperband Butterflyfish,7.9755677881,98.8103034789
2022,2022-12-30,Atherinomorus lacunosus,Slender Hardyhead,10.375242852,103.8592336418
2022,2022-12-30,Cyprinus carpio,European Carp,13.7812608616,100.3189750761
2022,2022-12-30,Channa striata,Striped Snakehead,13.6257994243,104.1559951065
2022,2022-12-29,Boleophthalmus boddarti,Boddart's Blue-spotted Mudskipper,8.1431705,98.7468677
2022,2022-12-29,Nandus nebulosus,Bornean Leaffish,6.3102371886,101.7240985934
2022,2022-12-29,Lepidocephalichthys furcatus,,6.3098187704,101.723956962
2022,2022-12-29,Pterophyllum scalare,Freshwater Angelfish,13.3404047,103.86284885
2022,2022-12-29,Cheilinus chlorourus,Floral Maori Wrasse,10.2840398955,103.9094517599
2022,2022-12-29,Periophthalmodon schlosseri,Giant Mudskipper,13.5436722222,100.6066277778
2022,2022-12-29,Scolopsis taenioptera,Lattice Monocle Bream,10.3990000173,103.9131062946
2022,2022-12-29,Echeneis naucrates,Sharksucker,10.0924790221,99.8529753892
2022,2022-12-29,Amblyeleotris,,10.3218449911,103.9922086218
2022,2022-12-29,Rasbora paviana,Sidestripe rasbora,13.7488583333,104.87259
2022,2022-12-29,Rasbora paviana,Sidestripe rasbora,12.6581667133,99.5854130528
2022,2022-12-29,Cyprinidae,Cyprinids,13.7489916667,104.8725983333
2022,2022-12-29,Barbodes rhombeus,Rhombic barb,12.6444923587,99.5110458438
2022,2022-12-29,Periophthalmus argentilineatus,Barred Mudskipper,7.824957325,98.2928213673
2022,2022-12-29,Stegastes lacrymatus,Jewel Damsel,7.976887556,98.8102837646
2022,2022-12-29,Abudefduf bengalensis,Bengal Sergeant,8.0046565243,98.8392565794
2022,2022-12-29,Diodon hystrix,Spotted Porcupinefish,8.0043119743,98.8395888547
2022,2022-12-29,Boleophthalmus boddarti,Boddart's Blue-spotted Mudskipper,8.074312838,98.9173270318
2022,2022-12-29,Istiblennius dussumieri,Dussumier's Rockskipper,11.9648907012,102.3597012833
