year,month,date,scientific_name,common_name,latitude,longitude
2023,10,2023-10-31,Gymnothorax thyrsoideus,White-eyed Moray,5.792466888,102.8909052654
2023,10,2023-10-31,Oreochromis mossambicus,Mozambique Tilapia,12.3683555556,102.3866611111
2023,10,2023-10-31,Abudefduf vaigiensis,Indo-Pacific Sergeant Major,5.792466888,102.8909052654
2023,10,2023-10-31,Periophthalmodon schlosseri,Giant Mudskipper,13.2556446122,99.9435739454
2023,10,2023-10-31,Helcogramma striata,Striped Triplefin,10.0956102,99.8403959
2023,10,2023-10-31,Aplocheilus armatus,Whitespot,12.0292205,102.3869083
2023,10,2023-10-31,Zenarchopterus gilli,Shortnose River Garfish,12.0292205,102.3869083
2023,10,2023-10-31,Terapon jarbua,Crescent Grunter,12.0292205,102.3869083
2023,10,2023-10-31,Clarias batrachus,Walking Catfish,12.0816623115,102.2831161312
2023,10,2023-10-30,Sargocentron rubrum,Red Squirrelfish,10.060751347,99.8261909211
2023,10,2023-10-30,Epinephelus quoyanus,Longfin Rockcod,10.060751347,99.8261909211
2023,10,2023-10-30,Diodon liturosus,Blackblotched Porcupinefish,10.060751347,99.8261909211
2023,10,2023-10-30,Soleichthys heterorhinos,Tiger Sole,10.060751347,99.8261909211
2023,10,2023-10-30,Actinopterygii,Ray-finned Fishes,10.060751347,99.8261909211
2023,10,2023-10-30,Parupeneus,,10.060751347,99.8261909211
2023,10,2023-10-30,Diodon liturosus,Blackblotched Porcupinefish,10.060751347,99.8261909211
2023,10,2023-10-30,Scolopsis margaritifera,Pearly Monocle Bream,10.060751347,99.8261909211
2023,10,2023-10-30,Pristiapogon,,10.060751347,99.8261909211
2023,10,2023-10-30,Lutjaninae,Fusiliers,10.060751347,99.8261909211
2023,10,2023-10-30,Pristiapogon,,10.060751347,99.8261909211
2023,10,2023-10-30,Rasbora paviana,Sidestripe rasbora,12.1014084,102.3441897
2023,10,2023-10-30,Hippocampus comes,Tiger Tail Seahorse,9.2101666616,98.1231543397
2023,10,2023-10-30,Hippocampus comes,Tiger Tail Seahorse,9.3945767827,98.1558317295
2023,10,2023-10-30,Hippocampus comes,Tiger Tail Seahorse,9.3462956897,98.1861619854
2023,10,2023-10-30,Sphyraena jello,Pickhandle Barracuda,12.0343694444,102.3886861111
2023,10,2023-10-30,Actinopterygii,Ray-finned Fishes,9.6058669359,98.5961826236
2023,10,2023-10-30,Neolissochilus stracheyi,Blue Mahseer Barb,12.063040797,102.2396798883
2023,10,2023-10-30,Neolissochilus,Lesser Mahseers,12.0570805556,102.294675
2023,10,2023-10-30,Strongylura strongylura,Blackspot Longtom,12.1919936,102.3701609
2023,10,2023-10-30,Zenarchopterus gilli,Shortnose River Garfish,12.1919936,102.3701609
2023,10,2023-10-30,Mugilidae,Mullets,12.0343722222,102.3886869444
2023,10,2023-10-30,Neolissochilus soroides,Golden Mahseer Barb,8.1512846795,99.6398203217
2023,10,2023-10-29,Aluterus scriptus,Scrawled Filefish,7.8813192674,98.2715241867
2023,10,2023-10-29,Actinopterygii,Ray-finned Fishes,13.7098033333,100.4509716667
2023,10,2023-10-29,Scarus,,10.1055389,99.8132583
2023,10,2023-10-29,Actinopterygii,Ray-finned Fishes,10.1723667,99.7790139
2023,10,2023-10-29,Pomacanthus annularis,Bluering Angelfish,10.1723667,99.7790139
2023,10,2023-10-29,Epinephelus corallicola,Coral Grouper,10.1723667,99.7790139
2023,10,2023-10-29,Cephalopholis sonnerati,Tomato Grouper,10.1723667,99.7790139
2023,10,2023-10-29,Neopomacentrus cyanomos,Regal Demoiselle,10.1723667,99.7790139
2023,10,2023-10-29,Sphyraena,Barracudas,10.1723667,99.7790139
2023,10,2023-10-29,Labroides dimidiatus,Bluestreak Cleaner Wrasse,10.1723667,99.7790139
2023,10,2023-10-29,Alepes vari,Herring scad,10.1723667,99.7790139
2023,10,2023-10-29,Myripristis hexagona,Double-tooth Soldierfish,10.1723667,99.7790139
2023,10,2023-10-29,Lutjanus argentimaculatus,Mangrove Red Snapper,10.1723667,99.7790139
2023,10,2023-10-29,Scolopsis vosmeri,Whitecheek Monocle Bream,10.1723667,99.7790139
2023,10,2023-10-28,Labroides dimidiatus,Bluestreak Cleaner Wrasse,10.0957792034,99.8543004716
2023,10,2023-10-28,Chaetodon wiebeli,Hong Kong Butterflyfish,10.0957792034,99.8543004716
2023,10,2023-10-28,Chromis cinerascens,Green Chromis,10.0957792034,99.8543004716
2023,10,2023-10-28,Pangasianodon hypophthalmus,Iridescent Shark,13.7053805992,100.4294455493
2023,10,2023-10-28,Amblygobius decussatus,Crosshatch goby,10.0957792034,99.8543004716
2023,10,2023-10-28,Scarus rivulatus,Surf Parrotfish,10.0957792034,99.8543004716
2023,10,2023-10-28,Cheilodipterus,,10.0957792034,99.8543004716
2023,10,2023-10-28,Stegastes lacrymatus,Jewel Damsel,10.0957792034,99.8543004716
2023,10,2023-10-28,Actinopterygii,Ray-finned Fishes,13.7519728,100.4883647997
2023,10,2023-10-28,Scarus rivulatus,Surf Parrotfish,10.0957792034,99.8543004716
2023,10,2023-10-28,Halichoeres chloropterus,Pastel-green Wrasse,10.0957792034,99.8543004716
2023,10,2023-10-28,Abudefduf sexfasciatus,Scissortail Sergeant,10.0957792034,99.8543004716
2023,10,2023-10-28,Actinopterygii,Ray-finned Fishes,10.0957792034,99.8543004716
2023,10,2023-10-28,Halichoeres chloropterus,Pastel-green Wrasse,10.0957792034,99.8543004716
2023,10,2023-10-28,Scolopsis,Monocle Breams,10.0957792034,99.8543004716
2023,10,2023-10-28,Pomacentrus chrysurus,Whitetail Damsel,10.0957792034,99.8543004716
2023,10,2023-10-28,Pomacentrus,,10.0957792034,99.8543004716
