scientific_name,common_name,image_url
Mullidae,Goatfishes,https://inaturalist-open-data.s3.amazonaws.com/photos/17952779/medium.jpg
Upeneus,Upeneus,https://static.inaturalist.org/photos/120275205/medium.jpg
Inegocia japonica,Rusty Flathead,https://inaturalist-open-data.s3.amazonaws.com/photos/167100030/medium.jpeg
Pleuronectoidei,Flatfishes,https://inaturalist-open-data.s3.amazonaws.com/photos/256995322/medium.jpeg
Diagramma pictum,Painted Sweetlips,https://inaturalist-open-data.s3.amazonaws.com/photos/14974635/medium.jpg
Dendrochirus zebra,Zebra Lionfish,https://inaturalist-open-data.s3.amazonaws.com/photos/10940462/medium.jpeg
Lactoria fornasini,Thornback Cowfish,https://static.inaturalist.org/photos/29806002/medium.jpg
Paragobiodon xanthosoma,Emerald Coralgoby,https://static.inaturalist.org/photos/59057382/medium.jpeg
Opistognathus randalli,Yellowbarred Jawfish,https://inaturalist-open-data.s3.amazonaws.com/photos/905387/medium.jpg
Taenianotus triacanthus,Leaf Scorpionfish,https://static.inaturalist.org/photos/29368070/medium.jpg
Paraluteres prionurus,Mimic Filefish,https://inaturalist-open-data.s3.amazonaws.com/photos/218843/medium.jpg
Hippocampus denise,Denise's Pygmy Seahorse,https://static.inaturalist.org/photos/66815797/medium.jpg
Paragobiodon modestus,Redhead Pocillopora Goby,https://inaturalist-open-data.s3.amazonaws.com/photos/97757322/medium.jpeg
Solenostomus paradoxus,Ornate Ghostpipefish,https://inaturalist-open-data.s3.amazonaws.com/photos/66886821/medium.jpg
Ophichthus bonaparti,Napoleon Snake Eel,https://inaturalist-open-data.s3.amazonaws.com/photos/89235472/medium.jpg
Acanthochromis polyacanthus,Spiny Chromis,https://inaturalist-open-data.s3.amazonaws.com/photos/15333833/medium.jpg
Pseudanthias hypselosoma,Stocky Anthias,https://inaturalist-open-data.s3.amazonaws.com/photos/12079485/medium.jpg
Cirrhilabrus cyanopleura,Bluesided Fairy Wrasse Complex,https://inaturalist-open-data.s3.amazonaws.com/photos/266487523/medium.jpg
Helcogramma striata,Striped Triplefin,https://inaturalist-open-data.s3.amazonaws.com/photos/342511058/medium.jpg
Valenciennea helsdingenii,Blacklined Glidergoby,https://inaturalist-open-data.s3.amazonaws.com/photos/296532261/medium.jpg
Oxycheilinus bimaculatus,Twospot Wrasse,https://inaturalist-open-data.s3.amazonaws.com/photos/258833119/medium.jpg
Pseudalutarius nasicornis,Rhino Filefish,https://inaturalist-open-data.s3.amazonaws.com/photos/59035196/medium.jpeg
Synchiropus morrisoni,Morrison's Dragonet,https://inaturalist-open-data.s3.amazonaws.com/photos/216816/medium.jpg
Pseudochromis perspicillatus,Blackstripe Dottyback,https://inaturalist-open-data.s3.amazonaws.com/photos/215773/medium.jpg
Xiphasia setifer,Snake Blenny,https://inaturalist-open-data.s3.amazonaws.com/photos/354268897/medium.jpg
Cymolutes torquatus,Razor Wrasse,https://inaturalist-open-data.s3.amazonaws.com/photos/3687257/medium.jpg
Ostorhinchus monospilus,Yelloweyed Cardinalfish,https://inaturalist-open-data.s3.amazonaws.com/photos/75325769/medium.jpeg
Amblypomacentrus breviceps,Blackbanded Damsel,https://inaturalist-open-data.s3.amazonaws.com/photos/257652980/medium.jpg
Ophichthus altipennis,Black-finned Snake Eel,https://inaturalist-open-data.s3.amazonaws.com/photos/187257897/medium.jpeg
Oxycheilinus digramma,Linedcheek Wrasse,https://static.inaturalist.org/photos/115339681/medium.jpg
Ostracion solorense,Striped Boxfish,https://inaturalist-open-data.s3.amazonaws.com/photos/256021023/medium.jpg
Odonus niger,Redtooth Triggerfish,https://inaturalist-open-data.s3.amazonaws.com/photos/19554199/medium.jpg
Ariosoma scheelei,Tropical Conger,https://inaturalist-open-data.s3.amazonaws.com/photos/30737110/medium.jpeg
Acentronura breviperula,Shortpouch Pygmy Pipehorse,https://static.inaturalist.org/photos/30777086/medium.jpg
Trachinocephalus trachinus,Painted Grinner,https://inaturalist-open-data.s3.amazonaws.com/photos/91604777/medium.jpg
Gymnothorax,Common Morays,https://inaturalist-open-data.s3.amazonaws.com/photos/34935/medium.jpg
Oplopomus oplopomus,Pretty Lagoongoby,https://inaturalist-open-data.s3.amazonaws.com/photos/244307228/medium.jpg
Trichonotus elegans,Elegant Sand Diver,https://inaturalist-open-data.s3.amazonaws.com/photos/109440289/medium.jpeg
Oplopomus caninoides,Shy Lagoongoby,https://inaturalist-open-data.s3.amazonaws.com/photos/441839908/medium.jpeg
Ostorhinchus hoevenii,Frostfin Cardinalfish,https://inaturalist-open-data.s3.amazonaws.com/photos/237987657/medium.jpg
Callionymidae,Dragonets,https://inaturalist-open-data.s3.amazonaws.com/photos/10499/medium.jpg
Cheilinus chlorourus,Floral Maori Wrasse,https://inaturalist-open-data.s3.amazonaws.com/photos/59009975/medium.jpeg
Coradion melanopus,Two-eyed Coralfish,https://inaturalist-open-data.s3.amazonaws.com/photos/234390737/medium.jpg
Fusigobius signipinnis,Flasher Sandgoby,https://inaturalist-open-data.s3.amazonaws.com/photos/67978656/medium.jpg
Gymnothorax fimbriatus,Fimbriated Moray,https://inaturalist-open-data.s3.amazonaws.com/photos/108488683/medium.jpg
Ostorhinchus aureus,Ringtail Cardinalfish,https://static.inaturalist.org/photos/22703123/medium.jpg
Onigocia spinosa,Midget Flathead,https://inaturalist-open-data.s3.amazonaws.com/photos/33599218/medium.jpeg
Heteroconger perissodon,Black Garden Eel,https://static.inaturalist.org/photos/59057559/medium.jpeg
Amblygobius sphynx,Sphynx Goby,https://inaturalist-open-data.s3.amazonaws.com/photos/256454525/medium.jpg
Iniistius melanopus,Yellowpatch Razorfish,https://inaturalist-open-data.s3.amazonaws.com/photos/184505454/medium.jpg
Lubricogobius exiguus,Yellow Pygmy Goby,https://static.inaturalist.org/photos/29221081/medium.jpg
Ostracion rhinorhynchos,Horn-nose Boxfish,https://static.inaturalist.org/photos/59057199/medium.jpeg
