date,scientific_name,common_name,latitude,longitude
2015-12-17,Rhincodon typus,Whale Shark,9.4542338982,123.4758487639
2015-10-12,Rhynchobatus australiae,Whitespotted Guitarfish,6.844419598,116.8139946396
2015-10-12,Hemigaleus microstoma,Sicklefin Weasel Shark,6.8979301962,116.9169144542
2015-10-12,Rhinobatos borneensis,Borneo Guitarfish,6.9012384818,116.8313253695
2015-10-12,Sphyrna lewini,Scalloped Hammerhead,6.8906739262,116.8657177958
2015-10-01,Mobula alfredi,Reef Manta Ray,11.0169354396,119.5341513975
2015-09-16,Rhincodon typus,Whale Shark,9.5422288437,123.2426085973
2015-09-09,Neotrygon orientale,Oriental Bluespotted Maskray,11.1905581,119.5082006
2015-08-23,Rhincodon typus,Whale Shark,9.4561094635,123.2397753707
2015-07-31,Rhincodon typus,Whale Shark,9.5572616587,123.5371932318
2015-07-16,Telatrygon biasa,Indonesian Sharpnose Stingray,5.8917393162,116.0792344527
2015-06-08,Alopias pelagicus,Pelagic Thresher Shark,11.3573851719,124.0495053146
2015-06-01,Rhincodon typus,Whale Shark,12.9857807414,123.4932448951
2015-05-20,Taeniura lymma,Bluespotted Fantail Ray,8.85,119.9333333
2015-05-13,Taeniura lymma,Bluespotted Fantail Ray,13.690763483,120.888946495
2015-05-13,Taeniura lymma,Bluespotted Fantail Ray,11.18583,119.39556
2015-05-06,Neotrygon orientale,Oriental Bluespotted Maskray,13.759791713,120.925751504
2015-05-06,Neotrygon orientale,Oriental Bluespotted Maskray,9.146449,123.243321
2015-05-05,Triaenodon obesus,Whitetip Reef Shark,12.6758333,120.475
2015-05-04,Alopias pelagicus,Pelagic Thresher Shark,11.2943988857,124.0040826402
2015-05-03,Neotrygon orientale,Oriental Bluespotted Maskray,13.7597760816,120.9257420391
2015-04-25,Rhincodon typus,Whale Shark,9.4952865495,123.4008081905
2015-04-08,Carcharhinus melanopterus,Blacktip Reef Shark,12.301563638,120.1313197331
2015-03-01,Rhincodon typus,Whale Shark,10.157447575,125.1200510924
2015-02-27,Triaenodon obesus,Whitetip Reef Shark,9.9379859788,125.083242123
2015-02-11,Carcharhinus melanopterus,Blacktip Reef Shark,10.3223557641,124.0845090368
2015-01-29,Alopias pelagicus,Pelagic Thresher Shark,11.2732996031,124.0769297991
2015-01-19,Rhincodon typus,Whale Shark,9.005151436,123.2494772424
2015-01-17,Neotrygon orientale,Oriental Bluespotted Maskray,9.1813027205,123.2798285687
2016-12-17,Mobula thurstoni,Bentfin Devil Ray,11.2819625523,124.1999203979
2016-12-08,Neotrygon orientale,Oriental Bluespotted Maskray,11.3333968217,124.1209073066
2016-12-08,Rhincodon typus,Whale Shark,9.5672436147,123.305504506
2016-12-04,Alopias pelagicus,Pelagic Thresher Shark,11.2876184359,124.0957979345
2016-11-20,Rhincodon typus,Whale Shark,9.5837467223,123.3726995839
2016-11-01,Alopias pelagicus,Pelagic Thresher Shark,11.3833050683,124.0154726123
2016-10-13,Taeniura lymma,Bluespotted Fantail Ray,6.0102389073,116.0127012837
2016-10-10,Taeniura lymma,Bluespotted Fantail Ray,4.593479401,118.8696076485
2016-09-23,Rhincodon typus,Whale Shark,9.0478703096,123.255251866
2016-09-23,Neotrygon orientale,Oriental Bluespotted Maskray,9.1414606946,123.2541812561
2016-09-23,Alopias pelagicus,Pelagic Thresher Shark,9.0023371832,123.3307051882
2016-08-08,Rhinobatos borneensis,Borneo Guitarfish,5.8494654366,116.0909560476
2016-08-08,Dasyatidae,Whiptail Stingrays,5.9833510907,116.0717723519
2016-07-31,Aetobatus ocellatus,White-spotted Eagle Ray,20.7004833333,116.73389
2016-07-26,Rhincodon typus,Whale Shark,9.4892508916,123.3257889555
2016-07-26,Rhincodon typus,Whale Shark,9.4082163844,123.3654352698
2016-07-14,Rhincodon typus,Whale Shark,10.1425205461,125.0825563477
2016-07-14,Rhincodon typus,Whale Shark,10.035998191,125.0869552828
