date,scientific_name,common_name,latitude,longitude
2025-06-09,Neotrygon orientale,Oriental Bluespotted Maskray,13.5240892972,120.9796929459
2025-06-01,Triaenodon obesus,Whitetip Reef Shark,11.4132908025,124.1529413912
2025-05-29,Neotrygon orientale,Oriental Bluespotted Maskray,13.7077061967,120.8745806083
2025-05-24,Ginglymostomatidae,Nurse Sharks,11.6366549724,122.8352285922
2025-05-23,Alopias pelagicus,Pelagic Thresher Shark,11.2773738857,124.11690759
2025-05-22,Mobula tarapacana,Sicklefin Devil Ray,11.2133948164,124.0418155896
2025-05-21,Alopias pelagicus,Pelagic Thresher Shark,11.2488669898,124.210789075
2025-05-21,Alopias pelagicus,Pelagic Thresher Shark,11.2269698963,124.1313480702
2025-05-20,Triaenodon obesus,Whitetip Reef Shark,11.4495138,124.0176676
2025-05-19,Taeniura lymma,Bluespotted Fantail Ray,12.2321926256,120.0868922685
2025-05-16,Carcharhinus macloti,Hardnose Shark,4.5951828558,118.7082706739
2025-05-16,Alopias pelagicus,Pelagic Thresher Shark,11.3528881043,124.2239336098
2025-05-16,Alopias pelagicus,Pelagic Thresher Shark,11.2155820168,124.3747782431
2025-05-16,Alopias pelagicus,Pelagic Thresher Shark,11.2016224805,124.3602348615
2025-05-04,Alopias pelagicus,Pelagic Thresher Shark,11.2400708665,124.3422271656
2025-05-03,Alopias pelagicus,Pelagic Thresher Shark,11.3102704195,124.1279834972
2025-04-27,Neotrygon orientale,Oriental Bluespotted Maskray,13.7037650486,120.8782265135
2025-04-27,Rhincodon typus,Whale Shark,12.8914747638,123.5971748231
2025-04-26,Taeniura lymma,Bluespotted Fantail Ray,6.7966673249,126.2580011431
2025-04-26,Triaenodon obesus,Whitetip Reef Shark,11.3358464,124.1156362
2025-04-25,Alopias pelagicus,Pelagic Thresher Shark,11.2987713725,124.3253825663
2025-04-25,Alopias pelagicus,Pelagic Thresher Shark,11.3648650817,124.3464173081
2025-04-24,Carcharhinus melanopterus,Blacktip Reef Shark,11.3989085864,124.0709299445
