date,scientific_name,common_name,latitude,longitude
2015-12-30,Neotrygon caeruleopunctata,Bluespotted Maskray,-8.526308,115.512448
2015-12-29,Mobula alfredi,Reef Manta Ray,-8.9891836364,115.5218083477
2015-12-29,Chiloscyllium punctatum,Brown-banded Bamboo Shark,-8.9577812606,115.4193129713
2015-12-28,Triaenodon obesus,Whitetip Reef Shark,-8.526181,115.575694
2015-12-27,Taeniura lymma,Bluespotted Fantail Ray,-8.338105,115.66054
2015-12-27,Neotrygon caeruleopunctata,Bluespotted Maskray,-8.338105,115.66054
2015-12-26,Neotrygon caeruleopunctata,Bluespotted Maskray,-8.273648,115.592715
2015-12-25,Triaenodon obesus,Whitetip Reef Shark,-8.526181,115.575694
2015-12-24,Triaenodon obesus,Whitetip Reef Shark,-8.526181,115.575694
2015-12-22,Hemiscyllium freycineti,Indonesian Speckled Carpetshark,-0.4019947351,130.7346528522
2015-12-22,Mobula alfredi,Reef Manta Ray,-0.4492395853,130.1037166676
2015-12-22,Mobula alfredi,Reef Manta Ray,-0.5817164251,130.5567227955
2015-12-22,Carcharhinus melanopterus,Blacktip Reef Shark,-0.5401666306,130.6265305697
2015-12-20,Triaenodon obesus,Whitetip Reef Shark,-8.526181,115.575694
2015-12-20,Taeniura lymma,Bluespotted Fantail Ray,-8.527327,115.575118
2015-12-19,Neotrygon orientale,Oriental Bluespotted Maskray,1.452528,125.222512
2015-12-18,Eucrossorhinus dasypogon,Tasselled Wobbegong,-1.0206589593,130.456182707
2015-11-10,Taeniura lymma,Bluespotted Fantail Ray,-8.2729832021,115.5922229779
2015-11-08,Taeniura lymma,Bluespotted Fantail Ray,-8.2953799473,115.6125840025
2015-11-03,Pateobatis jenkinsii,Jenkins' Whipray,-8.2877354695,115.6051945345
2015-10-29,Taeniura lymma,Bluespotted Fantail Ray,-8.608179,119.547043
2015-09-17,Triaenodon obesus,Whitetip Reef Shark,-8.2742022,115.5930373
2015-09-17,Mobula alfredi,Reef Manta Ray,-8.3159773767,115.4078599456
2015-09-17,Mobula alfredi,Reef Manta Ray,-8.43805293,119.7584826995
2015-09-12,Neotrygon varidens,Mahogany Maskray,5.9129566957,102.7168333903
2015-09-10,Taeniura lymma,Bluespotted Fantail Ray,4.2457011,118.6315839
2015-09-10,Hemipristis elongata,Snaggletooth Shark,-8.7101848291,115.5354220357
2015-08-31,Carcharhinus melanopterus,Blacktip Reef Shark,-8.4368161694,119.6618519345
2015-08-30,Mobula alfredi,Reef Manta Ray,-8.775613804,119.4258654926
2015-08-30,Mobula alfredi,Reef Manta Ray,-8.6266493783,119.5143513589
2015-08-30,Mobula alfredi,Reef Manta Ray,-8.7405472322,119.5632669804
2015-08-28,Taeniura lymma,Bluespotted Fantail Ray,-8.78855,119.6736333333
