date,scientific_name,common_name,latitude,longitude
2016-12-31,Taeniura lymma,Bluespotted Fantail Ray,-8.527327,115.575118
2016-12-29,Neotrygon caeruleopunctata,Bluespotted Maskray,-8.338105,115.66054
2016-12-25,Eucrossorhinus dasypogon,Tasselled Wobbegong,-0.5707209713,130.7961652917
2016-12-25,Eucrossorhinus dasypogon,Tasselled Wobbegong,-0.5510032226,130.6810822008
2016-12-24,Mobula alfredi,Reef Manta Ray,-0.5866740918,130.7185131854
2016-12-24,Eucrossorhinus dasypogon,Tasselled Wobbegong,-0.4297313062,130.6783728238
2016-12-23,Eucrossorhinus dasypogon,Tasselled Wobbegong,-0.5824519685,130.6189902463
2016-12-21,Hemiscyllium,Epaulette Sharks,-0.4406376873,130.6256764766
2016-12-21,Carcharhinus amblyrhynchos,Grey Reef Shark,-0.4726497351,130.7551294159
2016-12-21,Triaenodon obesus,Whitetip Reef Shark,-8.34707,119.392641
2016-12-19,Neotrygon australiae,Australian Bluespotted Maskray,-8.7598654626,119.4489506644
2016-12-17,Mobula alfredi,Reef Manta Ray,-8.4180942269,119.7688253818
2016-12-17,Mobula alfredi,Reef Manta Ray,-8.4486394724,119.6738657998
2016-12-17,Mobula alfredi,Reef Manta Ray,-8.5491258679,119.5142474663
2016-12-16,Neotrygon australiae,Australian Bluespotted Maskray,-8.5685530657,119.7643753355
2016-12-15,Chiloscyllium punctatum,Brown-banded Bamboo Shark,-8.4190810073,119.7654245886
2016-12-14,Neotrygon kuhlii,Bluespotted Maskray,1.2583712351,103.8204453247
2016-12-14,Triakis semifasciata,Leopard Shark,1.2583597717,103.8204343916
2016-12-14,Sphyrna lewini,Scalloped Hammerhead,1.2138476164,103.923047875
2016-12-14,Taeniura lymma,Bluespotted Fantail Ray,1.2583851501,103.8204430315
2016-12-14,Rhinoptera javanica,Javanese Cownose Ray,1.3846713145,103.916473433
2016-12-14,Aetobatus ocellatus,White-spotted Eagle Ray,1.2583840211,103.8204337842
2016-12-14,Taeniurops meyeni,Blotched Fantail Ray,1.2455576042,103.9407812663
2016-12-14,Pristis pristis,Common Sawfish,1.3131536331,103.869692491
2016-12-14,Rhina ancylostomus,Bowmouth Guitarfish,1.3594914449,103.9620377462
2016-12-14,Mobula alfredi,Reef Manta Ray,1.255583988,103.9995925033
2016-12-14,Mobula alfredi,Reef Manta Ray,-8.5053426485,119.4758987069
2016-12-14,Mobula alfredi,Reef Manta Ray,-8.5443108322,119.4049194644
2016-12-14,Mobula,Devil Rays,-8.511116,119.636211
2016-12-13,Carcharhinus,Typical Requiem Sharks,5.465118,100.2822098
2016-12-10,Carcharhinus albimarginatus,Silvertip Shark,1.2811271512,124.8276061793
2016-12-03,Carcharhinus falciformis,Silky Shark,1.5622452542,124.873420638
2016-12-01,Carcharhinus melanopterus,Blacktip Reef Shark,-3.5867900773,128.4713773797
2016-11-20,Triaenodon obesus,Whitetip Reef Shark,-10.4154769468,105.680360198
2016-11-20,Triaenodon obesus,Whitetip Reef Shark,-10.4154769468,105.680360198
2016-11-17,Carcharhinus melanopterus,Blacktip Reef Shark,-4.597472785,129.7117324728
2016-11-17,Carcharhinus melanopterus,Blacktip Reef Shark,-4.5801421697,129.6329858418
2016-11-17,Carcharhinus melanopterus,Blacktip Reef Shark,-4.4676967604,129.6263933329
2016-11-16,Triaenodon obesus,Whitetip Reef Shark,-8.3590452,116.0812832
2016-11-16,Taeniura lymma,Bluespotted Fantail Ray,-8.3590452,116.0812832
2016-11-10,Mobula alfredi,Reef Manta Ray,-8.5075360036,119.7708685345
2016-11-05,Taeniura lymma,Bluespotted Fantail Ray,-0.558495,130.69013
2016-11-03,Taeniura lymma,Bluespotted Fantail Ray,-0.773265,130.7194683333
2016-10-26,Triaenodon obesus,Whitetip Reef Shark,-6.4426672917,120.5139210083
2016-10-26,Triaenodon obesus,Whitetip Reef Shark,-6.4426672917,120.5139210083
2016-10-26,Taeniurops meyeni,Blotched Fantail Ray,-6.5685548901,120.589892735
2016-10-24,Taeniura lymma,Bluespotted Fantail Ray,-6.44918439,120.503649875
2016-10-24,Taeniura lymma,Bluespotted Fantail Ray,-6.44918439,120.503649875
2016-10-23,Chiloscyllium punctatum,Brown-banded Bamboo Shark,-8.7985019401,115.4891390183
2016-10-17,Taeniura lymma,Bluespotted Fantail Ray,1.469805915,125.2361641583
2016-10-17,Taeniura lymma,Bluespotted Fantail Ray,1.469805915,125.2361641583
2016-10-17,Neotrygon orientale,Oriental Bluespotted Maskray,1.48669022,125.2568450933
2016-10-16,Neotrygon orientale,Oriental Bluespotted Maskray,1.4874910367,125.2563658717
2016-10-15,Chiloscyllium punctatum,Brown-banded Bamboo Shark,5.0471561004,115.1817116433
2016-10-14,Neotrygon orientale,Oriental Bluespotted Maskray,1.488406255,125.2569237717
2016-10-13,Mobula alfredi,Reef Manta Ray,-8.494033174,119.2960516206
2016-10-13,Rhincodon typus,Whale Shark,-8.7704989524,119.6118988965
2016-10-13,Taeniura lymma,Bluespotted Fantail Ray,6.0102389073,116.0127012837
2016-10-11,Neotrygon orientale,Oriental Bluespotted Maskray,1.7740311317,125.1938363867
2016-10-10,Taeniura lymma,Bluespotted Fantail Ray,1.7702504933,125.1889212917
2016-10-10,Taeniura lymma,Bluespotted Fantail Ray,4.593479401,118.8696076485
2016-10-08,Rhincodon typus,Whale Shark,1.6656297537,118.2695415445
2016-10-05,Carcharhinus amblyrhynchos,Grey Reef Shark,2.3640806832,118.6414064257
2016-10-04,Neotrygon orientale,Oriental Bluespotted Maskray,1.7502927154,125.1341566519
2016-10-04,Triaenodon obesus,Whitetip Reef Shark,2.1168008,118.5682279193
2016-10-03,Mobula alfredi,Reef Manta Ray,2.1662307509,118.3766228532
2016-10-02,Triaenodon obesus,Whitetip Reef Shark,-8.3344516323,115.6559133931
2016-09-22,Triaenodon obesus,Whitetip Reef Shark,4.11447243,118.6263484508
2016-09-03,Hemipristis elongata,Snaggletooth Shark,-8.3611425777,115.4093984713
2016-09-02,Carcharhinus melanopterus,Blacktip Reef Shark,5.9121534453,102.7225486128
2016-09-01,Rhincodon typus,Whale Shark,5.6104025124,102.9026323383
2016-08-31,Taeniura lymma,Bluespotted Fantail Ray,2.281631,118.244243
2016-08-28,Mobula alfredi,Reef Manta Ray,-8.7439312352,115.5137664087
2016-08-18,Neotrygon orientale,Oriental Bluespotted Maskray,1.4512757165,125.231407864
2016-08-18,Mobula alfredi,Reef Manta Ray,-8.6262183722,115.4436507795
2016-08-15,Triaenodon obesus,Whitetip Reef Shark,-8.684182648,119.5077132288
2016-08-15,Taeniurops meyeni,Blotched Fantail Ray,-8.713172355,119.4299424598
2016-08-15,Triaenodon obesus,Whitetip Reef Shark,-8.684182648,119.5077132288
2016-08-13,Mobula alfredi,Reef Manta Ray,-8.7603759705,115.5598063228
2016-08-11,Rhincodon typus,Whale Shark,-2.0562671493,134.6361606751
2016-08-10,Rhincodon typus,Whale Shark,-8.5048473815,119.4723149372
2016-08-09,Rhincodon typus,Whale Shark,-2.1070375863,134.6674301199
2016-08-09,Rhincodon typus,Whale Shark,-2.169943813,134.654477648
2016-08-08,Rhinobatos borneensis,Borneo Guitarfish,5.8494654366,116.0909560476
2016-08-08,Dasyatidae,Whiptail Stingrays,5.9833510907,116.0717723519
2016-08-04,Carcharhinus melanopterus,Blacktip Reef Shark,5.6286667246,102.929106116
2016-07-26,Taeniura lymma,Bluespotted Fantail Ray,-5.4617210279,123.7574801653
2016-07-26,Rhizoprionodon,Sharpnose Sharks,-7.6849040198,108.6515929922
2016-07-26,Rhizoprionodon,Sharpnose Sharks,-7.6865347725,108.646806255
2016-07-25,Rhizoprionodon,Sharpnose Sharks,-7.6852854597,108.6477527395
2016-07-24,Mobula alfredi,Reef Manta Ray,-8.2603785278,115.1955087752
2016-07-23,Carcharhinus melanopterus,Blacktip Reef Shark,5.9621782378,102.640493411
2016-07-22,Carcharhinus melanopterus,Blacktip Reef Shark,5.9332909017,102.7067047561
2016-07-12,Carcharias taurus,Sand Tiger Shark,3.1523175,101.7022038
2016-07-11,Mobula alfredi,Reef Manta Ray,-8.5620316819,119.5339431637
2016-07-11,Mobula alfredi,Reef Manta Ray,-8.4539174867,119.5454978809
2016-07-10,Triaenodon obesus,Whitetip Reef Shark,-8.545485,119.6476333333
2016-07-10,Taeniura lymma,Bluespotted Fantail Ray,-8.545485,119.6476333333
2016-06-09,Taeniura lymma,Bluespotted Fantail Ray,1.2274706199,103.7440386925
2016-06-06,Neotrygon orientale,Oriental Bluespotted Maskray,4.2457011,118.6315839
2016-06-05,Triaenodon obesus,Whitetip Reef Shark,4.1115322741,118.62932235
2016-06-03,Taeniura lymma,Bluespotted Fantail Ray,4.2457011,118.6315839
2016-05-24,Neotrygon orientale,Oriental Bluespotted Maskray,1.4146305556,124.6320194444
2016-05-14,Rhincodon typus,Whale Shark,2.6491941965,104.0033397937
2016-05-07,Mobula birostris,Oceanic Manta Ray,-8.535811417,119.5341295244
2016-05-01,Neotrygon orientale,Oriental Bluespotted Maskray,1.4890147353,125.2578548392
2016-04-30,Hemiscyllium freycineti,Indonesian Speckled Carpetshark,-2.107596362,130.4604183781
2016-04-30,Eucrossorhinus dasypogon,Tasselled Wobbegong,-2.3186873397,130.7006632279
