date,scientific_name,common_name,latitude,longitude
2021-12-25,Mobula mobular,Spinetail Devil Ray,9.3127337977,97.9352480288
2021-12-05,Chiloscyllium,Bamboo Sharks,12.6655891138,101.2336368486
2021-11-22,Dasyatidae,Whiptail Stingrays,7.8416916667,98.3772283333
2021-11-18,Galeocerdo cuvier,Tiger Shark,13.7453369353,100.2956953131
2021-10-28,Taeniura lymma,Bluespotted Fantail Ray,10.0642340248,99.8415160213
2021-10-24,Rhincodon typus,Whale Shark,6.3015468909,99.3095800522
2021-10-04,Rhincodon typus,Whale Shark,7.3076353652,101.8886251737
2021-09-30,Taeniura lymma,Bluespotted Fantail Ray,10.1220563599,99.8123258932
2021-09-22,Rhincodon typus,Whale Shark,7.1527754507,101.5543288043
2021-08-08,Chiloscyllium punctatum,Brown-banded Bamboo Shark,6.756300148,101.7956746454
2021-08-07,Dasyatidae,Whiptail Stingrays,10.0620284143,99.8451758197
2021-07-07,Neotrygon malaccensis,Malacca Bluespotted Maskray,6.4892779654,99.3345111731
2021-07-05,Myliobatiformes,Stingrays,6.5204077356,99.3223170052
2021-06-20,Mobula birostris,Oceanic Manta Ray,7.6289315051,98.2927697261
2021-06-15,Taeniura lymma,Bluespotted Fantail Ray,6.31938075,99.78990555
2021-06-15,Himantura,Whiprays,6.31938075,99.78990555
2021-06-15,Stegostoma tigrinum,Zebra Shark,6.3924577239,99.7809700867
2021-06-12,Carcharhinus melanopterus,Blacktip Reef Shark,12.4195092393,101.4001102875
2021-06-01,Taeniura lymma,Bluespotted Fantail Ray,9.998791,99.779088
2021-05-30,Myliobatiformes,Stingrays,7.788548,98.412704
2021-05-12,Aetobatus ocellatus,White-spotted Eagle Ray,5.7943722035,102.8920264288
2021-04-30,Carcharhinus melanopterus,Blacktip Reef Shark,5.7208179826,102.9086302615
2021-04-21,Aetobatus ocellatus,White-spotted Eagle Ray,10.0648243397,99.8420942586
2021-04-17,Stegostoma tigrinum,Zebra Shark,7.6267590508,98.8194459515
2021-04-04,Carcharhinus melanopterus,Blacktip Reef Shark,7.6152185144,98.6268737511
2021-03-30,Rhincodon typus,Whale Shark,9.3045197325,97.8286177559
2021-03-30,Rhincodon typus,Whale Shark,9.5458934453,97.8317245943
2021-03-20,Chiloscyllium punctatum,Brown-banded Bamboo Shark,7.5285948319,99.2954805144
2021-03-19,Neotrygon varidens,Mahogany Maskray,5.768269,103.04166
2021-03-09,Triaenodon obesus,Whitetip Reef Shark,9.4111782472,97.8741700703
2021-02-20,Aetobatus ocellatus,White-spotted Eagle Ray,8.8302689591,97.798249921
2021-02-13,Neotrygon,Maskrays,8.5699665414,97.6436075939
2021-01-22,Rhynchobatus australiae,Whitespotted Guitarfish,12.4568275116,100.9055226498
2021-01-16,Galeomorphi,Galean Sharks,7.9930350951,98.3136951123
