date,scientific_name,common_name,latitude,longitude
2015-10-09,Chelonia mydas,Green Sea Turtle,14.0415121091,123.3375250752
2015-09-17,Eretmochelys imbricata,Hawksbill Sea Turtle,9.9764539946,123.299824905
2015-09-15,Chelonia mydas,Green Sea Turtle,9.9196820162,123.2671459944
2015-09-14,Chelonia mydas,Green Sea Turtle,9.0877512262,123.263437819
2015-09-14,Chelonia mydas,Green Sea Turtle,9.9144427684,123.2368691691
2015-08-19,Eretmochelys imbricata,Hawksbill Sea Turtle,9.31883262,123.5917546838
2015-08-13,Chelonia mydas,Green Sea Turtle,9.4758956637,123.7572963663
2015-08-12,Chelonia mydas,Green Sea Turtle,9.4740183483,123.7499949169
2015-08-12,Chelonia mydas,Green Sea Turtle,9.5080225688,123.7366463829
2015-08-06,Eretmochelys imbricata,Hawksbill Sea Turtle,4.5840171797,118.9449567979
2015-07-15,Chelonia mydas,Green Sea Turtle,13.4099163941,120.9731934197
2015-06-03,Eretmochelys imbricata,Hawksbill Sea Turtle,12.5723486595,122.2824033444
2015-05-17,Chelonia mydas,Green Sea Turtle,9.0757388244,123.2101532336
2015-04-21,Chelonia mydas,Green Sea Turtle,9.5997278772,123.7245256131
2015-04-21,Chelonia mydas,Green Sea Turtle,9.5035494217,123.7872602702
2015-04-19,Eretmochelys imbricata,Hawksbill Sea Turtle,12.6164696752,120.43162692
2015-04-17,Eretmochelys imbricata,Hawksbill Sea Turtle,13.4643397379,120.802671621
2015-04-14,Eretmochelys imbricata,Hawksbill Sea Turtle,12.7404418762,120.5639915285
2015-04-05,Chelonia mydas,Green Sea Turtle,12.7391329687,120.547132924
2015-04-01,Chelonia mydas,Green Sea Turtle,9.9248061368,123.7611808065
2015-03-29,Eretmochelys imbricata,Hawksbill Sea Turtle,13.5479534925,121.0832488303
2015-03-28,Eretmochelys imbricata,Hawksbill Sea Turtle,6.9801844038,125.6348206189
2015-03-24,Eretmochelys imbricata,Hawksbill Sea Turtle,14.5661515338,120.9482659209
2015-02-07,Eretmochelys imbricata,Hawksbill Sea Turtle,10.4979569094,122.5378044944
2015-01-23,Chelonia mydas,Green Sea Turtle,10.0251010076,125.1647717697
2015-01-19,Chelonia mydas,Green Sea Turtle,9.0662155199,123.306930544
2015-01-15,Chelonia mydas,Green Sea Turtle,9.8872199442,123.3894693462
2016-12-23,Eretmochelys imbricata,Hawksbill Sea Turtle,13.7811232909,120.9756797542
2016-12-20,Chelonia mydas,Green Sea Turtle,13.6890494104,120.8312509372
2016-12-20,Chelonia mydas,Green Sea Turtle,4.5554570357,118.9459935309
2016-12-20,Chelonia mydas,Green Sea Turtle,4.520036022,118.9780357238
2016-12-19,Eretmochelys imbricata,Hawksbill Sea Turtle,13.6527422114,120.9301398795
2016-12-13,Lepidochelys olivacea,Olive Ridley Sea Turtle,13.5927596684,120.9727727131
2016-12-08,Chelonia mydas,Green Sea Turtle,11.3137300203,124.0898343747
2016-11-27,Chelonia mydas,Green Sea Turtle,9.4713608162,123.675387267
2016-11-19,Lepidochelys olivacea,Olive Ridley Sea Turtle,13.5991309967,120.9712888034
2016-11-11,Eretmochelys imbricata,Hawksbill Sea Turtle,13.6166925191,120.8509753027
2016-11-11,Eretmochelys imbricata,Hawksbill Sea Turtle,10.1601562874,125.0594190215
2016-11-10,Eretmochelys imbricata,Hawksbill Sea Turtle,10.0926379817,125.083392295
2016-11-10,Eretmochelys imbricata,Hawksbill Sea Turtle,10.1517754664,125.016504577
2016-11-05,Eretmochelys imbricata,Hawksbill Sea Turtle,13.6675545746,120.8183367035
2016-10-12,Chelonia mydas,Green Sea Turtle,4.5186549738,118.8768771987
2016-10-11,Chelonia mydas,Green Sea Turtle,9.5703569005,123.7160912027
2016-10-09,Chelonia mydas,Green Sea Turtle,13.766868644,120.8658018382
2016-09-23,Chelonia mydas,Green Sea Turtle,9.1170152764,123.3235407343
2016-09-23,Chelonia mydas,Green Sea Turtle,9.1146276794,123.211644607
2016-09-23,Emydocephalus annulatus,Eastern Turtle-headed Sea Snake,9.1414606946,123.2541812561
2016-09-23,Chelonia mydas,Green Sea Turtle,9.1016082059,123.3544221283
2016-09-22,Chelonia mydas,Green Sea Turtle,9.5234836348,123.6079984944
2016-09-06,Chelonia mydas,Green Sea Turtle,11.2539899379,124.0011166151
2016-09-02,Chelonia mydas,Green Sea Turtle,13.5541651236,120.9444724435
2016-07-27,Chelonia mydas,Green Sea Turtle,13.5438770972,120.8935546495
2016-07-15,Eretmochelys imbricata,Hawksbill Sea Turtle,10.0950942861,125.0786758017
2016-07-14,Chelonia mydas,Green Sea Turtle,13.5476923257,120.9598172944
2016-07-04,Chelonia mydas,Green Sea Turtle,6.4529811768,117.9271063948
2016-07-03,Eretmochelys imbricata,Hawksbill Sea Turtle,10.1019060148,125.070037412
2016-06-15,Chelonia mydas,Green Sea Turtle,9.4197921765,123.6616918386
2016-06-14,Chelonia mydas,Green Sea Turtle,9.457698492,123.7521616679
2016-06-14,Chelonia mydas,Green Sea Turtle,9.4639513145,123.3560281811
2016-06-13,Eretmochelys imbricata,Hawksbill Sea Turtle,9.1482399937,123.2386398392
2016-05-26,Emydocephalus annulatus,Eastern Turtle-headed Sea Snake,9.4748130712,123.9208056395
2016-05-26,Emydocephalus annulatus,Eastern Turtle-headed Sea Snake,9.4724425888,123.9224744674
2016-05-25,Chelonia mydas,Green Sea Turtle,9.4067629091,123.718139216
2016-05-25,Chelonia mydas,Green Sea Turtle,9.4750088341,123.6045210039
2016-05-25,Chelonia mydas,Green Sea Turtle,9.4273521996,123.7176057979
2016-05-24,Chelonia mydas,Green Sea Turtle,9.552714479,123.7625273898
2016-05-23,Chelonia mydas,Green Sea Turtle,9.953892796,123.2248104615
2016-05-21,Chelonia mydas,Green Sea Turtle,9.1418247427,123.3614187347
2016-05-19,Chelonia mydas,Green Sea Turtle,9.0047378638,123.4743330209
