date,scientific_name,common_name,latitude,longitude
2017-12-30,Eretmochelys imbricata,Hawksbill Sea Turtle,13.6826314455,120.940515183
2017-12-30,Eretmochelys imbricata,Hawksbill Sea Turtle,13.7467611428,120.9008761506
2017-12-28,Eretmochelys imbricata,Hawksbill Sea Turtle,9.998946,123.224409032
2017-12-28,Chelonia mydas,Green Sea Turtle,9.9385914793,123.3079868011
2017-12-27,Chelonia mydas,Green Sea Turtle,9.9676964467,123.20583725
2017-12-26,Eretmochelys imbricata,Hawksbill Sea Turtle,13.7755380636,120.8228041843
2017-12-25,Eretmochelys imbricata,Hawksbill Sea Turtle,4.6693934082,118.9901056611
2017-12-20,Chelonia mydas,Green Sea Turtle,11.2875042775,124.1684567754
2017-12-03,Eretmochelys imbricata,Hawksbill Sea Turtle,13.6544327783,120.9017323527
2017-11-22,Emydocephalus annulatus,Eastern Turtle-headed Sea Snake,9.1590653184,123.2484698296
2017-11-12,Chelonia mydas,Green Sea Turtle,9.9991505047,123.2943784738
2017-11-12,Chelonia mydas,Green Sea Turtle,9.8043774201,123.3775073793
2017-11-10,Chelonia mydas,Green Sea Turtle,9.9377643487,123.2028172565
2017-11-10,Chelonia mydas,Green Sea Turtle,9.9753984411,123.3543521177
2017-11-01,Chelonia mydas,Green Sea Turtle,9.5299250694,123.6173660631
2017-11-01,Eretmochelys imbricata,Hawksbill Sea Turtle,9.4154982042,123.6467594675
2017-10-31,Eretmochelys imbricata,Hawksbill Sea Turtle,13.6567533866,120.954090956
2017-10-30,Chelonia mydas,Green Sea Turtle,6.0892661093,118.1880296471
2017-10-28,Eretmochelys imbricata,Hawksbill Sea Turtle,13.4827997263,123.7573343058
2017-09-23,Eretmochelys imbricata,Hawksbill Sea Turtle,13.6239026022,120.9865088418
2017-09-04,Chelonia mydas,Green Sea Turtle,7.7139348926,118.6491267273
2017-08-25,Eretmochelys imbricata,Hawksbill Sea Turtle,13.6648680176,120.868423347
2017-08-24,Emydocephalus annulatus,Eastern Turtle-headed Sea Snake,9.197342908,123.2769012451
2017-08-20,Chelonia mydas,Green Sea Turtle,6.0172470245,118.0497197401
2017-08-01,Chelonia mydas,Green Sea Turtle,9.0865510731,123.2403200393
2017-07-27,Eretmochelys imbricata,Hawksbill Sea Turtle,9.8560049303,123.3269980981
2017-07-22,Eretmochelys imbricata,Hawksbill Sea Turtle,13.6144215054,120.8580079875
2017-07-18,Chelonia mydas,Green Sea Turtle,9.8118292543,123.2757523576
2017-07-15,Chelonia mydas,Green Sea Turtle,9.8579490239,123.2474010411
2017-07-14,Eretmochelys imbricata,Hawksbill Sea Turtle,13.7689987387,120.9655777682
2017-07-09,Eretmochelys imbricata,Hawksbill Sea Turtle,13.6327792725,120.8945191532
2017-07-09,Chelonia mydas,Green Sea Turtle,9.9640049496,123.2314233605
2017-07-08,Chelonia mydas,Green Sea Turtle,6.8297798547,126.2824527397
2017-06-25,Eretmochelys imbricata,Hawksbill Sea Turtle,13.645085709,120.9891005517
2017-06-24,Chelonia mydas,Green Sea Turtle,13.7932474427,120.8083966761
2017-06-16,Eretmochelys imbricata,Hawksbill Sea Turtle,13.6449438676,120.983416919
2017-06-16,Eretmochelys imbricata,Hawksbill Sea Turtle,12.4990398816,122.245074537
2017-06-15,Eretmochelys imbricata,Hawksbill Sea Turtle,9.0128253365,123.5908002856
2017-06-14,Chelonia mydas,Green Sea Turtle,9.1713618618,123.2004517067
2017-05-29,Chelonia mydas,Green Sea Turtle,8.8288564327,120.7038011634
2017-05-14,Chelonia mydas,Green Sea Turtle,10.0886255102,125.1990897783
2017-05-14,Chelonia mydas,Green Sea Turtle,10.0165762562,125.0405729512
2017-05-14,Eretmochelys imbricata,Hawksbill Sea Turtle,13.6451933828,120.9302825058
2017-05-13,Eretmochelys imbricata,Hawksbill Sea Turtle,10.0177857344,125.174926422
2017-05-13,Eretmochelys imbricata,Hawksbill Sea Turtle,10.1911462687,125.1000649671
2017-05-10,Eretmochelys imbricata,Hawksbill Sea Turtle,10.1847678614,125.1345483812
2017-05-08,Chelonia mydas,Green Sea Turtle,9.4901243418,123.6236377019
2017-05-08,Chelonia mydas,Green Sea Turtle,9.4899503464,123.708779683
2017-05-06,Eretmochelys imbricata,Hawksbill Sea Turtle,10.0707753209,125.0556298336
2017-05-06,Eretmochelys imbricata,Hawksbill Sea Turtle,10.0720388852,125.1942077995
2017-05-06,Eretmochelys imbricata,Hawksbill Sea Turtle,13.6843694816,120.8094482565
2017-05-04,Chelonia mydas,Green Sea Turtle,10.0543063901,125.1069793072
2017-04-27,Eretmochelys imbricata,Hawksbill Sea Turtle,9.904579826,125.3983118436
2017-04-19,Chelonia mydas,Green Sea Turtle,10.012905663,125.1816009778
2017-04-19,Chelonia mydas,Green Sea Turtle,10.1821411047,125.1744394686
2017-04-18,Chelonia mydas,Green Sea Turtle,9.0754640246,123.3686892121
2017-04-18,Chelonia mydas,Green Sea Turtle,9.1537679623,123.3130018655
2017-04-18,Chelonia mydas,Green Sea Turtle,9.1089861188,123.3812922509
2017-04-17,Chelonia mydas,Green Sea Turtle,10.0993790678,125.0698078117
2017-04-14,Chelonia mydas,Green Sea Turtle,10.0806119158,125.1016229297
