date,scientific_name,common_name,latitude,longitude
2015-12-28,Eretmochelys imbricata,Hawksbill Sea Turtle,-8.5944102627,115.4127721269
2015-12-28,Eretmochelys imbricata,Hawksbill Sea Turtle,-8.5715386653,115.4495075006
2015-12-27,Eretmochelys imbricata,Hawksbill Sea Turtle,-8.2505034997,115.6482240731
2015-12-26,Eretmochelys imbricata,Hawksbill Sea Turtle,-8.3845035806,115.4489985868
2015-12-22,Eretmochelys imbricata,Hawksbill Sea Turtle,-0.4492660199,130.6359368821
2015-12-20,Eretmochelys imbricata,Hawksbill Sea Turtle,-8.5245826507,115.5449479298
2015-12-16,Eretmochelys imbricata,Hawksbill Sea Turtle,-3.7196975878,128.0303366276
2015-12-03,Chelonia mydas,Green Sea Turtle,1.6469886764,124.650633743
2015-11-14,Chelonia mydas,Green Sea Turtle,3.314602788,106.0375767549
2015-11-02,Eretmochelys imbricata,Hawksbill Sea Turtle,-8.3747358175,115.7321512135
2015-10-22,Eretmochelys imbricata,Hawksbill Sea Turtle,-8.3022146413,116.1333003557
2015-10-22,Chelonia mydas,Green Sea Turtle,-8.30663537,116.0676745093
2015-10-22,Chelonia mydas,Green Sea Turtle,-8.2725397709,116.1672061616
2015-10-22,Chelonia mydas,Green Sea Turtle,-8.2447573921,116.0822768451
2015-10-20,Chelonia mydas,Green Sea Turtle,-8.3286013341,116.1310676856
2015-10-19,Chelonia mydas,Green Sea Turtle,-8.3031326425,116.1287076012
2015-10-18,Chelonia mydas,Green Sea Turtle,-8.3289161324,116.0418773027
2015-09-26,Chelonia mydas,Green Sea Turtle,-8.2628711682,116.0488879361
2015-09-18,Eretmochelys imbricata,Hawksbill Sea Turtle,-8.4875965815,119.7514185877
2015-09-15,Eretmochelys imbricata,Hawksbill Sea Turtle,-8.2725654007,116.1872996274
2015-09-12,Chelonia mydas,Green Sea Turtle,2.0833934226,97.1258890343
2015-08-31,Eretmochelys imbricata,Hawksbill Sea Turtle,-8.5630263119,119.7691090724
2015-08-29,Eretmochelys imbricata,Hawksbill Sea Turtle,-8.768397748,119.6685863225
2015-08-25,Eretmochelys imbricata,Hawksbill Sea Turtle,-8.4196201508,119.7711202815
2015-08-24,Eretmochelys imbricata,Hawksbill Sea Turtle,-8.4786936348,119.5014317041
2015-08-23,Lepidochelys olivacea,Olive Ridley Sea Turtle,2.1031417904,109.7610879599
2015-08-17,Eretmochelys imbricata,Hawksbill Sea Turtle,-8.2759214233,116.0876671522
2015-08-06,Eretmochelys imbricata,Hawksbill Sea Turtle,4.5840171797,118.9449567979
2015-08-04,Lepidochelys olivacea,Olive Ridley Sea Turtle,-8.6981285327,115.039486848
2015-06-29,Eretmochelys imbricata,Hawksbill Sea Turtle,-8.7139733112,119.447568032
2015-06-21,Eretmochelys imbricata,Hawksbill Sea Turtle,-8.2782460315,115.6512936055
2015-06-19,Eretmochelys imbricata,Hawksbill Sea Turtle,1.4557591301,124.7087738366
2015-06-19,Eretmochelys imbricata,Hawksbill Sea Turtle,1.5082215204,124.6689028966
2015-06-16,Chelonia mydas,Green Sea Turtle,1.5930584521,124.707748822
2015-06-16,Chelonia mydas,Green Sea Turtle,5.8146622956,103.1598594675
2015-06-11,Chelonia mydas,Green Sea Turtle,4.1289819686,118.7338354389
2015-06-08,Chelonia mydas,Green Sea Turtle,5.876753022,103.099321368
2015-06-01,Chelonia mydas,Green Sea Turtle,-8.3765697761,116.1354790338
2015-05-12,Eretmochelys imbricata,Hawksbill Sea Turtle,-8.2234200739,115.5493511166
2015-05-05,Eretmochelys imbricata,Hawksbill Sea Turtle,-4.403223847,130.1872875563
2015-05-05,Chelonia mydas,Green Sea Turtle,-4.454570346,130.0701326062
2015-05-05,Eretmochelys imbricata,Hawksbill Sea Turtle,-4.4392534066,130.0603170528
2015-05-03,Eretmochelys imbricata,Hawksbill Sea Turtle,-4.4214342028,129.9752052398
2015-04-23,Chelonia mydas,Green Sea Turtle,-5.6668344117,123.8453778409
2015-04-22,Eretmochelys imbricata,Hawksbill Sea Turtle,-2.1004448107,130.5616778134
2015-04-22,Carettinae,"Hawksbill, Loggerhead, and Ridley Sea Turtles",-2.104288609,130.2245876639
