date,scientific_name,common_name,latitude,longitude
2020-12-29,Eretmochelys imbricata,Hawksbill Sea Turtle,-5.5438465144,105.3511839529
2020-12-03,Eretmochelys imbricata,Hawksbill Sea Turtle,-0.2021275095,130.4355594242
2020-12-02,Chelonia mydas,Green Sea Turtle,-1.7246829843,108.8118189566
2020-11-28,Chelonia mydas,Green Sea Turtle,0.7916215544,104.1294136919
2020-11-25,Chelonia mydas,Green Sea Turtle,-6.4741563316,105.6056897475
2020-11-21,Chelonia mydas,Green Sea Turtle,-6.4468277973,105.7210527731
2020-11-17,Chelonia mydas,Green Sea Turtle,-7.2204733804,112.7307508407
2020-11-11,Chelonia mydas,Green Sea Turtle,-5.9791345965,110.5160303187
2020-11-10,Eretmochelys imbricata,Hawksbill Sea Turtle,-8.3837098005,117.4551441938
2020-11-02,Eretmochelys imbricata,Hawksbill Sea Turtle,-5.8067961952,110.5889654874
2020-10-28,Chelonia mydas,Green Sea Turtle,-9.0392079061,125.6629757697
2020-09-06,Chelonia mydas,Green Sea Turtle,5.8485031033,102.6693550748
2020-08-08,Chelonia mydas,Green Sea Turtle,3.2419517291,106.2951397751
2020-08-07,Chelonia mydas,Green Sea Turtle,-8.3451687903,112.450645178
2020-08-04,Scutavirus chelonidalpha-v,sea turtle fibropapillomatosis,4.5548077596,118.921137619
2020-08-02,Chelonia mydas,Green Sea Turtle,4.1900783164,103.4492148365
2020-08-01,Chelonia mydas,Green Sea Turtle,-8.3616324394,116.1838503244
2020-07-24,Chelonia mydas,Green Sea Turtle,-2.2487504824,130.5338721386
2020-07-24,Eretmochelys imbricata,Hawksbill Sea Turtle,-2.3339819956,130.4171994446
2020-07-22,Chelonia mydas,Green Sea Turtle,4.1895206056,118.6210961092
2020-07-20,Chelonia mydas,Green Sea Turtle,5.6466079019,103.1779106156
2020-07-19,Chelonia mydas,Green Sea Turtle,5.7044644211,103.1169692271
2020-07-18,Eretmochelys imbricata,Hawksbill Sea Turtle,2.8635752659,104.0903151614
2020-07-18,Chelonia mydas,Green Sea Turtle,-8.3188175785,116.0725074728
2020-07-12,Chelonia mydas,Green Sea Turtle,4.5799474679,118.8365016713
2020-07-12,Chelonia mydas,Green Sea Turtle,4.3077112951,100.4270805395
2020-07-12,Chelonia mydas,Green Sea Turtle,4.2464581027,100.4939076004
2020-07-08,Chelonia mydas,Green Sea Turtle,-8.4823443841,125.9263823204
2020-07-01,Chelonia mydas,Green Sea Turtle,-5.7504402616,104.6197865858
2020-06-30,Chelonia mydas,Green Sea Turtle,5.6838973222,102.9783541257
2020-06-29,Lepidochelys olivacea,Olive Ridley Sea Turtle,-0.9547196129,100.3676364169
2020-06-13,Chelonia mydas,Green Sea Turtle,5.6596708128,118.1747132855
2020-06-13,Eretmochelys imbricata,Hawksbill Sea Turtle,5.3897123571,103.1286463882
2020-05-19,Eretmochelys imbricata,Hawksbill Sea Turtle,-7.3740121899,110.1291986412
2020-05-13,Chelonia mydas,Green Sea Turtle,4.3526732927,108.1723995953
2020-05-07,Eretmochelys imbricata,Hawksbill Sea Turtle,5.6630325048,102.8721558941
2020-04-30,Chelonia mydas,Green Sea Turtle,4.3087857673,118.7150791459
2020-04-11,Eretmochelys imbricata,Hawksbill Sea Turtle,-2.5827119826,107.7267711361
2020-04-07,Eretmochelys imbricata,Hawksbill Sea Turtle,-8.7883407558,115.441098897
2020-04-04,Eretmochelys imbricata,Hawksbill Sea Turtle,-8.6151553949,115.5103056898
2020-03-29,Chelonia mydas,Green Sea Turtle,-2.2086446014,130.4575949239
2020-03-23,Lepidochelys olivacea,Olive Ridley Sea Turtle,-8.5166331685,115.0190933322
2020-03-22,Chelonia mydas,Green Sea Turtle,1.7638180932,124.6900725627
2020-03-22,Chelonia mydas,Green Sea Turtle,1.6744040022,124.7618602253
2020-03-22,Chelonia mydas,Green Sea Turtle,1.7566752755,124.6163430843
2020-03-21,Chelonia mydas,Green Sea Turtle,1.6260604399,124.6835685887
2020-03-21,Chelonia mydas,Green Sea Turtle,1.6389924318,124.6633434395
2020-03-20,Eretmochelys imbricata,Hawksbill Sea Turtle,5.7901601217,102.9729155327
2020-03-20,Eretmochelys imbricata,Hawksbill Sea Turtle,5.6734518687,102.9908904127
2020-03-16,Eretmochelys imbricata,Hawksbill Sea Turtle,5.6574392608,102.9936455969
2020-03-14,Eretmochelys imbricata,Hawksbill Sea Turtle,-6.1815125144,105.8757965654
2020-03-11,Chelonia mydas,Green Sea Turtle,-2.5541505104,107.7385339856
2020-03-10,Eretmochelys imbricata,Hawksbill Sea Turtle,-8.2518310122,116.0393177813
2020-03-10,Eretmochelys imbricata,Hawksbill Sea Turtle,-8.2654530075,116.1789870045
2020-03-10,Chelonia mydas,Green Sea Turtle,-8.3052669332,116.1118865278
2020-02-29,Eretmochelys imbricata,Hawksbill Sea Turtle,-8.1771851398,114.7467878736
2020-02-27,Chelonia mydas,Green Sea Turtle,4.1839370965,103.4167620711
2020-02-10,Eretmochelys imbricata,Hawksbill Sea Turtle,-8.1835509814,131.3935490055
2020-02-10,Chelonia mydas,Green Sea Turtle,-8.1747497664,131.2324336188
2020-02-07,Eretmochelys imbricata,Hawksbill Sea Turtle,-8.770438508,115.5211011379
2020-01-22,Chelonia mydas,Green Sea Turtle,1.6067388881,124.7341865802
2020-01-15,Chelonia mydas,Green Sea Turtle,-8.5692180355,119.6480241289
