date,scientific_name,common_name,latitude,longitude
2015-12-26,Eretmochelys imbricata,Hawksbill Sea Turtle,10.0646090181,99.8311866192
2015-11-25,Eretmochelys imbricata,Hawksbill Sea Turtle,8.7898441237,97.6313426712
2015-11-25,Eretmochelys imbricata,Hawksbill Sea Turtle,8.7364130545,97.7820008336
2015-06-16,Chelonia mydas,Green Sea Turtle,5.8146622956,103.1598594675
2015-06-08,Chelonia mydas,Green Sea Turtle,5.876753022,103.099321368
2015-04-16,Chelonia mydas,Green Sea Turtle,9.4638718705,97.9638857003
2015-04-04,Chelonia mydas,Green Sea Turtle,10.0785102113,99.8298234358
2016-12-26,Chelonia mydas,Green Sea Turtle,7.9899225242,98.4275367574
2016-09-28,Eretmochelys imbricata,Hawksbill Sea Turtle,5.7603166999,103.1406892498
2016-09-01,Chelonia mydas,Green Sea Turtle,5.9169794858,102.7900956628
2016-07-21,Eretmochelys imbricata,Hawksbill Sea Turtle,5.8947608475,102.6501822619
2016-07-15,Chelonia mydas,Green Sea Turtle,5.814645405,102.6895319373
2016-03-01,Chelonia mydas,Green Sea Turtle,5.573460911,100.0803737999
2016-01-10,Chelonia mydas,Green Sea Turtle,10.034509571,99.8820216767
2016-01-01,Chelonia mydas,Green Sea Turtle,10.0007714059,99.8488565893
2017-10-06,Eretmochelys imbricata,Hawksbill Sea Turtle,10.5252828098,99.4981256181
2017-09-09,Chelonia mydas,Green Sea Turtle,13.5809500489,100.2889288585
2017-07-31,Chelonia mydas,Green Sea Turtle,10.1797388231,99.976444004
2017-07-25,Chelonia mydas,Green Sea Turtle,5.814612997,103.0344995546
2017-07-08,Chelonia mydas,Green Sea Turtle,5.9258193532,102.6661212865
2017-07-05,Chelonia mydas,Green Sea Turtle,5.7456107479,102.9545737801
2017-07-05,Chelonia mydas,Green Sea Turtle,5.8474102107,102.7505727455
2017-07-03,Chelonia mydas,Green Sea Turtle,13.8096055123,100.7079017087
2017-06-22,Chelonia mydas,Green Sea Turtle,5.7012122847,103.1665495668
2017-06-04,Eretmochelys imbricata,Hawksbill Sea Turtle,7.7832994307,98.6416104685
2017-05-26,Chelonia mydas,Green Sea Turtle,5.9329010563,102.665946555
2017-05-20,Chelonia mydas,Green Sea Turtle,5.5351642314,100.0128962844
2017-05-14,Chelonia mydas,Green Sea Turtle,5.586844712,100.0215410416
2017-04-29,Eretmochelys imbricata,Hawksbill Sea Turtle,5.6426132318,102.9240819611
2017-04-23,Eretmochelys imbricata,Hawksbill Sea Turtle,9.039531201,97.9961033026
2017-04-22,Chelonia mydas,Green Sea Turtle,9.5507819599,97.845664516
2017-04-19,Chelonia mydas,Green Sea Turtle,5.8084943715,102.7354031484
2017-04-15,Chelonia mydas,Green Sea Turtle,5.5124537081,100.1127343424
2017-04-15,Chelonia mydas,Green Sea Turtle,5.5364075293,100.0121842367
2017-04-15,Chelonia mydas,Green Sea Turtle,5.5369864173,100.1418972314
2017-04-15,Chelonia mydas,Green Sea Turtle,5.5610198462,100.1250866955
2017-04-15,Chelonia mydas,Green Sea Turtle,5.5698068009,100.0544922313
2017-03-23,Eretmochelys imbricata,Hawksbill Sea Turtle,10.4427515101,99.492909698
2017-03-12,Chelonia mydas,Green Sea Turtle,10.0042491345,99.9350032884
2017-02-26,Eretmochelys imbricata,Hawksbill Sea Turtle,10.1701034207,99.9611129219
2017-01-16,Eretmochelys imbricata,Hawksbill Sea Turtle,7.6581386918,98.7894899439
2018-12-26,Chelonia mydas,Green Sea Turtle,9.1127030555,98.231342231
2018-12-21,Chelonia mydas,Green Sea Turtle,12.616648197,100.9886934926
2018-12-15,Eretmochelys imbricata,Hawksbill Sea Turtle,7.7378684279,98.0526963829
2018-12-11,Chelonia mydas,Green Sea Turtle,8.6115340851,97.6490776313
2018-12-11,Eretmochelys imbricata,Hawksbill Sea Turtle,8.6672455894,97.6962867994
2018-11-23,Eretmochelys imbricata,Hawksbill Sea Turtle,7.6068412105,98.6482256868
2018-11-16,Eretmochelys imbricata,Hawksbill Sea Turtle,10.0222050476,99.8580841857
2018-10-31,Eretmochelys imbricata,Hawksbill Sea Turtle,10.0281494593,99.9135698822
2018-10-26,Eretmochelys imbricata,Hawksbill Sea Turtle,12.4284394558,100.9790673478
2018-10-15,Eretmochelys imbricata,Hawksbill Sea Turtle,7.3447333087,99.3763744014
2018-10-14,Chelonia mydas,Green Sea Turtle,8.4292482426,98.2191098348
2018-09-11,Eretmochelys imbricata,Hawksbill Sea Turtle,10.1917826627,99.9994266248
2018-09-01,Chelonia mydas,Green Sea Turtle,10.0751787042,99.9026536674
2018-08-01,Eretmochelys imbricata,Hawksbill Sea Turtle,7.8414219537,98.507264202
2018-08-01,Lepidochelys olivacea,Olive Ridley Sea Turtle,7.8974562963,98.5665044783
2018-08-01,Chelonia mydas,Green Sea Turtle,7.8261197732,98.4885001948
2018-08-01,Chelonia mydas,Green Sea Turtle,7.8229415462,98.5106744289
2018-07-24,Chelonia mydas,Green Sea Turtle,5.6192388898,103.1956201956
2018-06-16,Eretmochelys imbricata,Hawksbill Sea Turtle,10.1581304647,99.839718611
2018-06-13,Chelonia mydas,Green Sea Turtle,10.0880721381,99.8430700152
2018-06-13,Chelonia mydas,Green Sea Turtle,10.1908647527,99.9602285877
2018-05-30,Eretmochelys imbricata,Hawksbill Sea Turtle,10.1892628344,99.9972326455
2018-05-21,Chelonia mydas,Green Sea Turtle,5.7185346348,103.165736484
2018-05-13,Chelonia mydas,Green Sea Turtle,5.6531573729,102.8155314243
