date,scientific_name,common_name,latitude,longitude
2021-12-09,Chelonia mydas,Green Sea Turtle,8.4114636651,97.7506274803
2021-10-29,Chelonia mydas,Green Sea Turtle,10.010963968,99.8985802455
2021-10-04,Eretmochelys imbricata,Hawksbill Sea Turtle,7.3037370176,101.928172506
2021-07-09,Chelonia mydas,Green Sea Turtle,5.8045825148,102.6722219311
2021-05-29,Chelonia mydas,Green Sea Turtle,7.2872609441,100.4716067657
2021-05-07,Chelonia mydas,Green Sea Turtle,5.6419435921,102.9559222264
2021-04-14,Chelonia mydas,Green Sea Turtle,10.0904786868,99.806476732
2021-03-28,Eretmochelys imbricata,Hawksbill Sea Turtle,8.7802382036,97.6366029039
2021-03-23,Eretmochelys imbricata,Hawksbill Sea Turtle,10.0374077581,99.8923370014
2021-03-21,Eretmochelys imbricata,Hawksbill Sea Turtle,5.6756218807,103.0416840368
2021-03-10,Eretmochelys imbricata,Hawksbill Sea Turtle,9.4032971521,97.8070730361
2021-03-10,Eretmochelys imbricata,Hawksbill Sea Turtle,9.4750280613,97.9200092617
2021-03-10,Eretmochelys imbricata,Hawksbill Sea Turtle,9.5086848345,97.8104161796
2021-03-09,Eretmochelys imbricata,Hawksbill Sea Turtle,9.4828829536,97.8668297855
2021-03-09,Eretmochelys imbricata,Hawksbill Sea Turtle,9.4438910322,97.9953048106
2021-03-09,Eretmochelys imbricata,Hawksbill Sea Turtle,9.4642674823,97.9001112924
2021-03-01,Chelonia mydas,Green Sea Turtle,10.0222837332,99.8044696526
2021-03-01,Chelonia mydas,Green Sea Turtle,10.0110891092,99.9215838875
2021-03-01,Chelonia mydas,Green Sea Turtle,10.1255433217,99.9712555422
2021-03-01,Chelonia mydas,Green Sea Turtle,10.0012647505,99.9614841252
2021-03-01,Chelonia mydas,Green Sea Turtle,10.1382303728,99.9493616814
